"","Country","cases","deaths","lat","lng"
"1","Unasigned",2291,0,46.9667,8.6
"2","Geneva",107,1,46.2017559,6.1466014
"3","Vaud",273,3,46.6356963,6.5320717
"4","Basel City",119,4,47.5579097,7.5927728
"5","Aargau",31,0,47.412396,8.1948321
"6","Zurich",294,1,47.3723941,8.5423328
"7","Ticino",330,6,46.3356506,8.753706
"8","Graubünden",47,0,46.6960615,9.6027351
"9","Valais",47,1,46.2303063,7.6605757
"10","Basel Country",48,2,47.4839723,7.7347783
"11","Bern",104,1,46.8739775,7.5631943
"12","Fribourg",38,0,46.6789116,7.1027113
"13","Zug",13,0,47.1486137,8.5539378
"14","Schwyz",9,0,47.0571976,8.7222073
"15","Neuchâtel",39,0,46.9895828,6.9292641
"16","St. Gallen",26,0,47.2033184,9.3507024
"17","Lucerne",26,0,47.0505452,8.3054682
"18","Appenzell Ausserrhoden",5,0,47.3960076,9.3705839
"19","Jura",10,0,47.3370866,7.2440935
"20","Thurgau",5,0,47.5859649,9.1428769
"21","Solothurn",10,0,47.31874,7.6698284
"22","Appenzell Innerrhoden",2,0,47.3007262,9.3991527
"23","Glarus",2,0,46.9796562,9.108812
"24","Schaffhausen",1,0,47.7151451,8.519796
"25","Nidwalden",8,0,46.942756,8.4119773
"26","Obwalden",1,0,46.8613857,8.2067825
"27","Uri",2,0,46.7864413,8.6420159
"28","Afghanistan",22,0,33,65
"29","Albania",59,2,41,20
"30","Algeria",74,7,28,3
"31","Andorra",39,0,42.5,1.6
"32","Antigua and Barbuda",1,0,17.05,-61.8
"33","Argentina",79,2,-34,-64
"34","Armenia",84,0,40,45
"35","Aruba",4,0,12.5,-69.9667
"36","Australia",568,6,-27,133
"37","Austria",1646,4,47.3333,13.3333
"38","Azerbaijan",28,1,40.5,47.5
"39","Bahamas",1,0,24.25,-76
"40","Bahrain",256,1,26,50.55
"41","Bangladesh",14,1,24,90
"42","Barbados",2,0,13.1667,-59.5333
"43","Belarus",51,0,53,28
"44","Belgium",1486,14,50.8333,4
"45","Benin",2,0,9.5,2.25
"46","Bhutan",1,0,27.5,90.5
"47","Bolivia",12,0,-17,-65
"48","Bosnia and Herzegovina",38,0,44,18
"49","Brazil",372,3,-10,-55
"50","Brunei",68,0,4.5,114.6667
"51","Bulgaria",92,2,43,25
"52","Burkina Faso",20,1,13,-2
"53","Cambodia",35,0,13,105
"54","Cameroon",10,0,6,12
"55","Canada",657,8,60,-95
"56","Central African Republic",1,0,7,21
"57","Chile",238,0,-30,-71
"58","China",81102,3241,35,105
"59","Colombia",93,0,4,-72
"60","Congo",1,0,-1,15
"61","Congo, the Democratic Republic of the",4,0,0,25
"62","Costa Rica",50,0,10,-84
"63","Côte d'Ivoire",6,0,8,-5
"64","Croatia",81,0,45.1667,15.5
"65","Cuba",7,1,21.5,-80
"66","Cyprus",49,0,35,33
"67","Czech Republic",464,0,49.75,15.5
"68","Denmark",1115,4,56,10
"69","Djibouti",1,0,11.5,43
"70","Dominican Republic",21,1,19,-70.6667
"71","Ecuador",111,2,-2,-77.5
"72","Egypt",196,6,27,30
"73","Equatorial Guinea",4,0,2,10
"74","Estonia",258,0,59,26
"75","Ethiopia",6,0,8,38
"76","Finland",336,0,64,26
"77","France",9052,148,46,2
"78","French Guiana",11,0,4,-53
"79","Gabon",1,0,-1,11.75
"80","Gambia",1,0,13.4667,-16.5667
"81","Georgia",38,0,42,43.5
"82","Germany",12327,28,51,9
"83","Ghana",7,0,8,-2
"84","Greece",418,5,39,22
"85","Greenland",1,0,72,-40
"86","Guadeloupe",27,0,16.25,-61.5833
"87","Guam",0,0,13.4667,144.7833
"88","Guatemala",6,1,15.5,-90.25
"89","Guernsey",0,0,49.5,-2.56
"90","Guinea",1,0,11,-10
"91","Guyana",7,1,5,-59
"92","Holy See (Vatican City State)",1,0,41.9,12.45
"93","Honduras",9,0,15,-86.5
"94","Hungary",58,1,47,20
"95","Iceland",250,1,65,-18
"96","India",156,3,20,77
"97","Indonesia",227,19,-5,120
"98","Iran, Islamic Republic of",17361,1135,32,53
"99","Iraq",164,12,33,44
"100","Ireland",292,2,53,-8
"101","Israel",433,0,31.5,34.75
"102","Italy",35713,2978,42.8333,12.8333
"103","Jamaica",13,0,18.25,-77.5
"104","Japan",889,29,36,138
"105","Jersey",0,0,49.21,-2.13
"106","Jordan",52,0,31,36
"107","Kazakhstan",35,0,48,68
"108","Kenya",3,0,1,38
"109","Korea, Republic of",8413,84,37,127.5
"110","Kuwait",142,0,29.3375,47.6581
"111","Kyrgyzstan",3,0,41,75
"112","Latvia",71,0,57,25
"113","Lebanon",133,3,33.8333,35.8333
"114","Liberia",2,0,6.5,-9.5
"115","Liechtenstein",28,0,47.1667,9.5333
"116","Lithuania",27,0,56,24
"117","Luxembourg",203,2,49.75,6.1667
"118","Macedonia, the former Yugoslav Republic of",35,0,41.8333,22
"119","Malaysia",790,2,2.5,112.5
"120","Maldives",13,0,3.25,73
"121","Malta",38,0,35.8333,14.5833
"122","Martinique",19,1,14.6667,-61
"123","Mauritania",1,0,20,-12
"124","Mauritius",3,0,-20.2833,57.55
"125","Mayotte",3,0,-12.8333,45.1667
"126","Mexico",93,0,23,-102
"127","Moldova, Republic of",30,1,47,29
"128","Monaco",7,0,43.7333,7.4
"129","Mongolia",6,0,46,105
"130","Montenegro",1,0,42,19
"131","Morocco",49,2,32,-5
"132","Namibia",2,0,-22,17
"133","Nepal",1,0,28,84
"134","Netherlands",2056,58,52.5,5.75
"135","New Zealand",20,0,-41,174
"136","Nigeria",8,0,10,8
"137","Norway",1550,6,62,10
"138","Oman",39,0,21,57
"139","Pakistan",299,0,30,70
"140","Panama",86,1,9,-80
"141","Paraguay",11,0,-23,-58
"142","Peru",145,0,-10,-76
"143","Philippines",202,19,13,122
"144","Poland",251,5,52,20
"145","Portugal",448,2,39.5,-8
"146","Puerto Rico",0,0,18.25,-66.5
"147","Qatar",452,0,25.5,51.25
"148","Réunion",12,0,-21.1,55.6
"149","Romania",260,0,46,25
"150","Russia",147,0,60,100
"151","Rwanda",8,0,-2,30
"152","Saint Lucia",2,0,13.8833,-61.1333
"153","Saint Vincent and the Grenadines",1,0,13.25,-61.2
"154","San Marino",119,11,43.7667,12.4167
