"","Country","cases","deaths","lat","lng"
"155","Saudi Arabia",171,0,25,45
"156","Senegal",31,0,14,-14
"157","Serbia",85,0,44,21
"158","Seychelles",4,0,-4.5833,55.6667
"159","Singapore",313,0,1.3667,103.8
"160","Slovakia",105,1,48.6667,19.5
"161","Slovenia",275,1,46,15
"162","Somalia",1,0,10,49
"163","South Africa",116,0,-29,24
"164","Spain",13910,623,40,-4
"165","Sri Lanka",51,0,7,81
"166","Sudan",2,1,15,30
"167","Suriname",1,0,4,-56
"168","Swaziland",1,0,-26.5,31.5
"169","Sweden",1279,10,62,15
"170","Taiwan",100,1,23.5,121
"171","Tanzania, United Republic of",3,0,-6,35
"172","Thailand",212,1,15,100
"173","Togo",1,0,8,1.1667
"174","Trinidad and Tobago",7,0,11,-61
"175","Tunisia",29,0,34,9
"176","Turkey",98,1,39,35
"177","Ukraine",14,2,49,32
"178","United Arab Emirates",113,0,24,54
"179","United Kingdom",2642,72,54,-2
"180","United States",7786,118,38,-97
"181","Uruguay",50,0,-33,-56
"182","Uzbekistan",15,0,41,64
"183","Venezuela",36,0,8,-66
"184","Vietnam",75,0,16,106
"185","Zambia",2,0,-15,30
