"","Country","cases","lat","lng"
"1","Geneva",7,46.2017559,6.1466014
"2","Vaud",7,46.6356963,6.5320717
"3","Basel City",3,47.5579097,7.5927728
"4","Aargau",6,47.412396,8.1948321
"5","Zurich",13,47.3723941,8.5423328
"6","Ticino",15,46.3356506,8.753706
"7","Graubünden",9,46.6960615,9.6027351
"8","Valais",2,46.2303063,7.6605757
"9","Basel Country",3,47.4839723,7.7347783
"10","Bern",4,46.8739775,7.5631943
"11","Fribourg",2,46.6789116,7.1027113
"12","Zug",1,47.1486137,8.5539378
"13","Schwyz",3,47.0571976,8.7222073
"14","Neuchâtel",1,46.9895828,6.9292641
"15","St. Gallen",1,47.2033184,9.3507024
"16","Afghanistan",1,33,65
"17","Algeria",5,28,3
"18","Andorra",1,42.5,1.6
"19","Argentina",1,-34,-64
"20","Armenia",1,40,45
"21","Australia",39,-27,133
"22","Austria",21,47.3333,13.3333
"23","Azerbaijan",3,40.5,47.5
"24","Bahrain",49,26,50.55
"25","Belarus",1,53,28
"26","Belgium",13,50.8333,4
"27","Brazil",2,-10,-55
"28","Cambodia",1,13,105
"29","Canada",30,60,-95
"30","Chile",1,-30,-71
"31","China",80161,35,105
"32","Croatia",9,45.1667,15.5
"33","Czech Republic",5,49.75,15.5
"34","Denmark",6,56,10
"35","Dominican Republic",1,19,-70.6667
"36","Ecuador",7,-2,-77.5
"37","Egypt",2,27,30
"38","Estonia",2,59,26
"39","Finland",6,64,26
"40","France",204,46,2
"41","Georgia",3,42,43.5
"42","Germany",196,51,9
"43","Greece",7,39,22
"44","Hong Kong",100,22.25,114.1667
"45","Iceland",11,65,-18
"46","India",5,20,77
"47","Indonesia",2,-5,120
"48","Iran, Islamic Republic of",2336,32,53
"49","Iraq",32,33,44
"50","Ireland",2,53,-8
"51","Israel",12,31.5,34.75
"52","Italy",2502,42.8333,12.8333
"53","Japan",293,36,138
"54","Jordan",1,31,36
"55","Kuwait",56,29.3375,47.6581
"56","Latvia",1,57,25
"57","Lebanon",13,33.8333,35.8333
"58","Lithuania",1,56,24
"59","Luxembourg",1,49.75,6.1667
"60","Macedonia, the former Yugoslav Republic of",1,41.8333,22
"61","Malaysia",36,2.5,112.5
"62","Mexico",5,23,-102
"63","Monaco",1,43.7333,7.4
"64","Morocco",1,32,-5
"65","Nepal",1,28,84
"66","Netherlands",24,52.5,5.75
"67","New Zealand",1,-41,174
"68","Nigeria",1,10,8
"69","Norway",32,62,10
"70","Oman",12,21,57
"71","Pakistan",5,30,70
"72","Philippines",3,13,122
"73","Portugal",2,39.5,-8
"74","Qatar",7,25.5,51.25
"75","Romania",3,46,25
"76","Russia",3,60,100
"77","San Marino",10,43.7667,12.4167
"78","Saudi Arabia",1,25,45
"79","Senegal",2,14,-14
"80","Singapore",110,1.3667,103.8
"81","South Korea",5186,37,127.5
"82","Spain",165,40,-4
"83","Sri Lanka",1,7,81
"84","Sweden",21,62,15
"85","Taiwan",42,23.5,121
"86","Thailand",43,15,100
"87","Ukraine",1,49,32
"88","United Arab Emirates",27,24,54
"89","United Kingdom",51,54,-2
"90","United States",122,38,-97
"91","Vietnam",16,16,106
