"","Country","cases","deaths","lat","lng"
"159","Spain",9942,342,40,-4
"160","Sri Lanka",28,0,7,81
"161","Sudan",1,1,15,30
"162","Suriname",1,0,4,-56
"163","Swaziland",1,0,-26.5,31.5
"164","Sweden",1103,6,62,15
"165","Taiwan",67,1,23.5,121
"166","Tanzania, United Republic of",1,0,-6,35
"167","Thailand",147,1,15,100
"168","Togo",1,0,8,1.1667
"169","Trinidad and Tobago",4,0,11,-61
"170","Tunisia",20,0,34,9
"171","Turkey",18,0,39,35
"172","Ukraine",7,1,49,32
"173","United Arab Emirates",98,0,24,54
"174","United Kingdom",1551,56,54,-2
"175","United States",4632,85,38,-97
"176","Uruguay",8,0,-33,-56
"177","Uzbekistan",6,0,41,64
"178","Venezuela",17,0,8,-66
"179","Vietnam",61,0,16,106
