"","Country","cases","deaths","lat","lng"
"1","Unasigned",1053,0,46.9667,8.6
"2","Geneva",107,1,46.2017559,6.1466014
"3","Vaud",273,3,46.6356963,6.5320717
"4","Basel City",119,4,47.5579097,7.5927728
"5","Aargau",31,0,47.412396,8.1948321
"6","Zurich",294,1,47.3723941,8.5423328
"7","Ticino",330,6,46.3356506,8.753706
"8","Graubünden",47,0,46.6960615,9.6027351
"9","Valais",47,1,46.2303063,7.6605757
"10","Basel Country",48,2,47.4839723,7.7347783
"11","Bern",104,1,46.8739775,7.5631943
"12","Fribourg",38,0,46.6789116,7.1027113
"13","Zug",13,0,47.1486137,8.5539378
"14","Schwyz",9,0,47.0571976,8.7222073
"15","Neuchâtel",39,0,46.9895828,6.9292641
"16","St. Gallen",26,0,47.2033184,9.3507024
"17","Lucerne",26,0,47.0505452,8.3054682
"18","Appenzell Ausserrhoden",5,0,47.3960076,9.3705839
"19","Jura",10,0,47.3370866,7.2440935
"20","Thurgau",5,0,47.5859649,9.1428769
"21","Solothurn",10,0,47.31874,7.6698284
"22","Appenzell Innerrhoden",2,0,47.3007262,9.3991527
"23","Glarus",2,0,46.9796562,9.108812
"24","Schaffhausen",1,0,47.7151451,8.519796
"25","Nidwalden",8,0,46.942756,8.4119773
"26","Obwalden",1,0,46.8613857,8.2067825
"27","Uri",2,0,46.7864413,8.6420159
"28","Afghanistan",21,0,33,65
"29","Albania",51,1,41,20
"30","Algeria",54,4,28,3
"31","Andorra",2,0,42.5,1.6
"32","Antigua and Barbuda",1,0,17.05,-61.8
"33","Argentina",56,2,-34,-64
"34","Armenia",52,0,40,45
"35","Aruba",2,0,12.5,-69.9667
"36","Australia",377,3,-27,133
"37","Austria",1018,3,47.3333,13.3333
"38","Azerbaijan",15,1,40.5,47.5
"39","Bahamas",1,0,24.25,-76
"40","Bahrain",214,1,26,50.55
"41","Bangladesh",8,0,24,90
"42","Belarus",36,0,53,28
"43","Belgium",1058,5,50.8333,4
"44","Benin",1,0,9.5,2.25
"45","Bhutan",1,0,27.5,90.5
"46","Bolivia",11,0,-17,-65
"47","Bosnia and Herzegovina",25,0,44,18
"48","Brazil",200,0,-10,-55
"49","Brunei",54,0,4.5,114.6667
"50","Bulgaria",52,2,43,25
"51","Burkina Faso",15,0,13,-2
"52","Cambodia",7,0,13,105
"53","Cameroon",4,0,6,12
"54","Canada",415,4,60,-95
"55","Central African Republic",1,0,7,21
"56","Chile",155,0,-30,-71
"57","China",81033,3217,35,105
"58","Colombia",54,0,4,-72
"59","Congo",2,0,-1,15
"60","Congo, the Democratic Republic of the",2,0,0,25
"61","Costa Rica",35,0,10,-84
"62","Côte d'Ivoire",1,0,8,-5
"63","Croatia",57,0,45.1667,15.5
"64","Cuba",4,0,21.5,-80
"65","Cyprus",33,0,35,33
"66","Czech Republic",298,0,49.75,15.5
"67","Denmark",932,3,56,10
"68","Dominican Republic",11,0,19,-70.6667
"69","Ecuador",37,2,-2,-77.5
"70","Egypt",150,2,27,30
"71","Equatorial Guinea",1,0,2,10
"72","Estonia",205,0,59,26
"73","Ethiopia",5,0,8,38
"74","Finland",277,0,64,26
"75","France",6650,148,46,2
"76","French Guiana",11,0,4,-53
"77","Gabon",1,0,-1,11.75
"78","Georgia",33,0,42,43.5
"79","Germany",7272,17,51,9
"80","Ghana",6,0,8,-2
"81","Greece",331,4,39,22
"82","Greenland",1,0,72,-40
"83","Guadeloupe",6,0,16.25,-61.5833
"84","Guam",3,0,13.4667,144.7833
"85","Guatemala",2,1,15.5,-90.25
"86","Guernsey",1,0,49.5,-2.56
"87","Guinea",1,0,11,-10
"88","Guyana",4,1,5,-59
"89","Holy See (Vatican City State)",1,0,41.9,12.45
"90","Honduras",6,0,15,-86.5
"91","Hungary",39,1,47,20
"92","Iceland",180,0,65,-18
"93","India",119,2,20,77
"94","Indonesia",134,5,-5,120
"95","Iran, Islamic Republic of",14991,853,32,53
"96","Iraq",124,10,33,44
"97","Ireland",169,2,53,-8
"98","Israel",255,0,31.5,34.75
"99","Italy",27980,2158,42.8333,12.8333
"100","Jamaica",10,0,18.25,-77.5
"101","Japan",825,27,36,138
"102","Jersey",2,0,49.21,-2.13
"103","Jordan",17,0,31,36
"104","Kazakhstan",10,0,48,68
"105","Kenya",3,0,1,38
"106","Korea, Republic of",8236,75,37,127.5
"107","Kuwait",123,0,29.3375,47.6581
"108","Latvia",34,0,57,25
"109","Lebanon",99,3,33.8333,35.8333
"110","Liberia",1,0,6.5,-9.5
"111","Liechtenstein",4,0,47.1667,9.5333
"112","Lithuania",17,0,56,24
"113","Luxembourg",77,1,49.75,6.1667
"114","Macedonia, the former Yugoslav Republic of",18,0,41.8333,22
"115","Malaysia",566,0,2.5,112.5
"116","Maldives",13,0,3.25,73
"117","Malta",30,0,35.8333,14.5833
"118","Martinique",15,1,14.6667,-61
"119","Mauritania",1,0,20,-12
"120","Mayotte",1,0,-12.8333,45.1667
"121","Mexico",53,0,23,-102
"122","Moldova, Republic of",23,0,47,29
"123","Monaco",7,0,43.7333,7.4
"124","Mongolia",1,0,46,105
"125","Morocco",29,1,32,-5
"126","Namibia",2,0,-22,17
"127","Nepal",1,0,28,84
"128","Netherlands",1414,24,52.5,5.75
"129","New Zealand",8,0,-41,174
"130","Nigeria",2,0,10,8
"131","Norway",1333,3,62,10
"132","Oman",22,0,21,57
"133","Pakistan",136,0,30,70
"134","Palestinian Territory, Occupied",0,0,32,35.25
"135","Panama",55,1,9,-80
"136","Paraguay",8,0,-23,-58
"137","Peru",86,0,-10,-76
"138","Philippines",142,12,13,122
"139","Poland",177,4,52,20
"140","Portugal",331,0,39.5,-8
"141","Puerto Rico",3,0,18.25,-66.5
"142","Qatar",439,0,25.5,51.25
"143","Réunion",9,0,-21.1,55.6
"144","Romania",158,0,46,25
"145","Russia",90,0,60,100
"146","Rwanda",5,0,-2,30
"147","Saint Lucia",2,0,13.8833,-61.1333
"148","Saint Vincent and the Grenadines",1,0,13.25,-61.2
"149","San Marino",109,7,43.7667,12.4167
"150","Saudi Arabia",118,0,25,45
"151","Senegal",24,0,14,-14
"152","Serbia",57,0,44,21
"153","Seychelles",3,0,-4.5833,55.6667
"154","Singapore",243,0,1.3667,103.8
"155","Slovakia",63,0,48.6667,19.5
"156","Slovenia",253,1,46,15
"157","Somalia",1,0,10,49
"158","South Africa",62,0,-29,24
