"","Country","cases","lat","lng"
"1","AG",232,47.412396,8.1948321
"2","AI",6,47.3007262,9.3991527
"3","AR",0,47.3960076,9.3705839
"4","BE",377,46.8739775,7.5631943
"5","BL",289,47.4839723,7.7347783
"6","BS",358,47.5579097,7.5927728
"7","FR",0,46.6789116,7.1027113
"8","GE",1144,46.2017559,6.1466014
"9","GL",17,46.9796562,9.108812
"10","GR",257,46.6960615,9.6027351
"11","JU",51,47.3370866,7.2440935
"12","LU",131,47.0505452,8.3054682
"13","NE",188,46.9895828,6.9292641
"14","NW",36,46.942756,8.4119773
"15","OW",1,46.8613857,8.2067825
"16","SG",98,47.2033184,9.3507024
"17","SH",14,47.7151451,8.519796
"18","SO",66,47.31874,7.6698284
"19","SZ",13,47.0571976,8.7222073
"20","TG",75,47.5859649,9.1428769
"21","TI",939,46.3356506,8.753706
"22","UR",12,46.7864413,8.6420159
"23","VD",1676,46.6356963,6.5320717
"24","VS",432,46.2303063,7.6605757
"25","ZH",773,47.3723941,8.5423328
"26","Afghanistan",24,33,65
"27","Albania",76,41,20
"28","Algeria",139,28,3
"29","Andorra",88,42.5,1.6
"30","Angola",2,-12.5,18.5
"31","Antigua and Barbuda",1,17.05,-61.8
"32","Argentina",158,-34,-64
"33","Armenia",160,40,45
"34","Australia",1071,-27,133
"35","Austria",2814,47.3333,13.3333
"36","Azerbaijan",53,40.5,47.5
"37","Bahamas",4,24.25,-76
"38","Bahrain",305,26,50.55
"39","Bangladesh",25,24,90
"40","Barbados",6,13.1667,-59.5333
"41","Belarus",76,53,28
"42","Belgium",2815,50.8333,4
"43","Benin",2,9.5,2.25
"44","Bhutan",2,27.5,90.5
"45","Bolivia",19,-17,-65
"46","Bosnia and Herzegovina",93,44,18
"47","Brazil",1021,-10,-55
"48","Brunei",83,4.5,114.6667
"49","Bulgaria",163,43,25
"50","Burkina Faso",64,13,-2
"51","Cambodia",53,13,105
"52","Cameroon",27,6,12
"53","Canada",1278,60,-95
"54","Cape Verde",4,16,-24
"55","Central African Republic",3,7,21
"56","Chad",1,15,19
"57","Chile",537,-30,-71
"58","China",81305,35,105
"59","Colombia",196,4,-72
"60","Congo",3,-1,15
"61","Congo, the Democratic Republic of the",23,0,25
"62","Costa Rica",117,10,-84
"63","Côte d'Ivoire",14,8,-5
"64","Croatia",206,45.1667,15.5
"65","Cuba",21,21.5,-80
"66","Cyprus",84,35,33
"67","Czech Republic",995,49.75,15.5
"68","Denmark",1420,56,10
"69","Djibouti",1,11.5,43
"70","Dominican Republic",112,19,-70.6667
"71","Ecuador",506,-2,-77.5
"72","Egypt",294,27,30
"73","El Salvador",3,13.8333,-88.9167
"74","Equatorial Guinea",6,2,10
"75","Eritrea",1,15,39
"76","Estonia",306,59,26
"77","Ethiopia",9,8,38
"78","Fiji",1,-18,175
