"","Country","cases","lat","lng"
"79","Finland",523,64,26
"80","France",14308,46,2
"81","French Guiana",18,4,-53
"82","Gabon",4,-1,11.75
"83","Gambia",1,13.4667,-16.5667
"84","Georgia",49,42,43.5
"85","Germany",22213,51,9
"86","Ghana",19,8,-2
"87","Greece",530,39,22
"88","Greenland",0,72,-40
"89","Guadeloupe",53,16.25,-61.5833
"90","Guam",0,13.4667,144.7833
"91","Guatemala",17,15.5,-90.25
"92","Guernsey",0,49.5,-2.56
"93","Guinea",2,11,-10
"94","Guyana",7,5,-59
"95","Haiti",2,19,-72.4167
"96","Holy See (Vatican City State)",1,41.9,12.45
"97","Honduras",24,15,-86.5
"98","Hungary",103,47,20
"99","Iceland",473,65,-18
"100","India",330,20,77
"101","Indonesia",450,-5,120
"102","Iran, Islamic Republic of",20610,32,53
"103","Iraq",214,33,44
"104","Ireland",785,53,-8
"105","Israel",883,31.5,34.75
"106","Italy",53578,42.8333,12.8333
"107","Jamaica",16,18.25,-77.5
"108","Japan",1007,36,138
"109","Jersey",0,49.21,-2.13
"110","Jordan",85,31,36
"111","Kazakhstan",53,48,68
"112","Kenya",7,1,38
"113","Korea, Republic of",8799,37,127.5
"114","Kuwait",176,29.3375,47.6581
"115","Kyrgyzstan",14,41,75
"116","Latvia",124,57,25
"117","Lebanon",187,33.8333,35.8333
"118","Liberia",3,6.5,-9.5
"119","Liechtenstein",37,47.1667,9.5333
"120","Lithuania",83,56,24
"121","Luxembourg",670,49.75,6.1667
"122","Macedonia, the former Yugoslav Republic of",85,41.8333,22
"123","Madagascar",3,-20,47
"124","Malaysia",1183,2.5,112.5
"125","Maldives",13,3.25,73
"126","Malta",73,35.8333,14.5833
"127","Martinique",32,14.6667,-61
"128","Mauritania",2,20,-12
"129","Mauritius",14,-20.2833,57.55
"130","Mayotte",7,-12.8333,45.1667
"131","Mexico",203,23,-102
"132","Moldova, Republic of",80,47,29
"133","Monaco",11,43.7333,7.4
"134","Mongolia",10,46,105
"135","Montenegro",14,42,19
"136","Morocco",96,32,-5
"137","Namibia",3,-22,17
"138","Nepal",1,28,84
"139","Netherlands",3640,52.5,5.75
"140","New Zealand",52,-41,174
"141","Nicaragua",2,13,-85
"142","Niger",1,16,8
"143","Nigeria",22,10,8
"144","Norway",2118,62,10
"145","Oman",52,21,57
"146","Pakistan",730,30,70
"147","Panama",200,9,-80
"148","Papua New Guinea",1,-6,147
"149","Paraguay",18,-23,-58
"150","Peru",318,-10,-76
"151","Philippines",307,13,122
"152","Poland",536,52,20
"153","Portugal",1280,39.5,-8
"154","Puerto Rico",0,18.25,-66.5
"155","Qatar",481,25.5,51.25
"156","Réunion",45,-21.1,55.6
"157","Romania",367,46,25
"158","Russia",306,60,100
"159","Rwanda",17,-2,30
"160","Saint Lucia",2,13.8833,-61.1333
"161","Saint Vincent and the Grenadines",1,13.25,-61.2
"162","San Marino",144,43.7667,12.4167
"163","Saudi Arabia",392,25,45
"164","Senegal",47,14,-14
"165","Serbia",173,44,21
"166","Seychelles",7,-4.5833,55.6667
"167","Singapore",432,1.3667,103.8
"168","Slovakia",178,48.6667,19.5
"169","Slovenia",383,46,15
"170","Somalia",1,10,49
"171","South Africa",240,-29,24
"172","Spain",25374,40,-4
"173","Sri Lanka",77,7,81
"174","Sudan",2,15,30
"175","Suriname",4,4,-56
"176","Swaziland",1,-26.5,31.5
"177","Sweden",1763,62,15
"178","Taiwan",153,23.5,121
"179","Tanzania, United Republic of",6,-6,35
"180","Thailand",411,15,100
"181","Timor-Leste",1,-8.55,125.5167
"182","Togo",16,8,1.1667
"183","Trinidad and Tobago",49,11,-61
"184","Tunisia",60,34,9
"185","Turkey",670,39,35
"186","Uganda",1,1,32
"187","Ukraine",47,49,32
"188","United Arab Emirates",153,24,54
"189","United Kingdom",5067,54,-2
"190","United States",25493,38,-97
"191","Uruguay",110,-33,-56
"192","Uzbekistan",43,41,64
"193","Venezuela",70,8,-66
"194","Vietnam",94,16,106
"195","Zambia",2,-15,30
"196","Zimbabwe",3,-20,30
