"","Country","cases","lat","lng"
"1","Geneva",107,46.2017559,6.1466014
"2","Vaud",273,46.6356963,6.5320717
"3","Basel City",119,47.5579097,7.5927728
"4","Aargau",31,47.412396,8.1948321
"5","Zurich",148,47.3723941,8.5423328
"6","Ticino",262,46.3356506,8.753706
"7","Graubünden",47,46.6960615,9.6027351
"8","Valais",47,46.2303063,7.6605757
"9","Basel Country",48,47.4839723,7.7347783
"10","Bern",78,46.8739775,7.5631943
"11","Fribourg",38,46.6789116,7.1027113
"12","Zug",9,47.1486137,8.5539378
"13","Schwyz",13,47.0571976,8.7222073
"14","Neuchâtel",39,46.9895828,6.9292641
"15","St. Gallen",26,47.2033184,9.3507024
"16","Lucerne",19,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",5,47.3960076,9.3705839
"18","Jura",10,47.3370866,7.2440935
"19","Thurgau",5,47.5859649,9.1428769
"20","Solothurn",10,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Glarus",2,46.9796562,9.108812
"23","Schaffhausen",1,47.7151451,8.519796
"24","Nidwalden",5,46.942756,8.4119773
"25","Obwalden",8,46.8613857,8.2067825
"26","Uri",0,46.7864413,8.6420159
"27","Afghanistan",7,33,65
"28","Albania",33,41,20
"29","Algeria",26,28,3
"30","Andorra",1,42.5,1.6
"31","Antigua and Barbuda",1,17.05,-61.8
"32","Argentina",31,-34,-64
"33","Armenia",8,40,45
"34","Aruba",2,12.5,-69.9667
"35","Australia",200,-27,133
"36","Austria",504,47.3333,13.3333
"37","Azerbaijan",15,40.5,47.5
"38","Bahrain",189,26,50.55
"39","Bangladesh",3,24,90
"40","Belarus",27,53,28
"41","Belgium",559,50.8333,4
"42","Bhutan",1,27.5,90.5
"43","Bolivia",3,-17,-65
"44","Bosnia and Herzegovina",13,44,18
"45","Brazil",151,-10,-55
"46","Brunei",37,4.5,114.6667
"47","Bulgaria",23,43,25
"48","Burkina Faso",2,13,-2
"49","Cambodia",5,13,105
"50","Cameroon",2,6,12
"51","Canada",193,60,-95
"52","Cayman Islands",1,19.5,-80.5
"53","Chile",43,-30,-71
"54","China",80945,35,105
"55","Colombia",13,4,-72
"56","Congo, the Democratic Republic of the",2,0,25
"57","Costa Rica",23,10,-84
"58","Côte d'Ivoire",1,8,-5
"59","Croatia",32,45.1667,15.5
"60","Cuba",4,21.5,-80
"61","Cyprus",14,35,33
"62","Czech Republic",141,49.75,15.5
"63","Denmark",804,56,10
"64","Dominican Republic",5,19,-70.6667
"65","Ecuador",17,-2,-77.5
"66","Egypt",80,27,30
"67","Estonia",79,59,26
"68","Ethiopia",1,8,38
"69","Finland",155,64,26
"70","France",3667,46,2
"71","French Guiana",5,4,-53
"72","Georgia",25,42,43.5
"73","Germany",3675,51,9
"74","Greece",190,39,22
"75","Guadeloupe",1,16.25,-61.5833
"76","Guinea",1,11,-10
"77","Guyana",1,5,-59
"78","Holy See (Vatican City State)",1,41.9,12.45
"79","Honduras",2,15,-86.5
"80","Hungary",19,47,20
"81","Iceland",134,65,-18
"82","India",82,20,77
"83","Indonesia",69,-5,120
"84","Iran, Islamic Republic of",11364,32,53
"85","Iraq",101,33,44
"86","Ireland",90,53,-8
"87","Israel",161,31.5,34.75
"88","Italy",17660,42.8333,12.8333
"89","Jamaica",8,18.25,-77.5
"90","Japan",701,36,138
"91","Jordan",1,31,36
"92","Kazakhstan",4,48,68
"93","Kenya",1,1,38
"94","Korea, Republic of",7979,37,127.5
"95","Kuwait",80,29.3375,47.6581
"96","Latvia",17,57,25
"97","Lebanon",77,33.8333,35.8333
"98","Liechtenstein",1,47.1667,9.5333
"99","Lithuania",6,56,24
"100","Luxembourg",34,49.75,6.1667
"101","Macedonia, the former Yugoslav Republic of",14,41.8333,22
"102","Malaysia",197,2.5,112.5
"103","Maldives",9,3.25,73
"104","Malta",12,35.8333,14.5833
"105","Martinique",3,14.6667,-61
"106","Mexico",12,23,-102
"107","Moldova, Republic of",6,47,29
"108","Monaco",2,43.7333,7.4
"109","Mongolia",1,46,105
"110","Morocco",7,32,-5
"111","Nepal",1,28,84
"112","Netherlands",804,52.5,5.75
"113","New Zealand",5,-41,174
"114","Nigeria",2,10,8
"115","Norway",996,62,10
"116","Oman",19,21,57
"117","Pakistan",28,30,70
"118","Panama",27,9,-80
"119","Paraguay",6,-23,-58
"120","Peru",28,-10,-76
"121","Philippines",64,13,122
"122","Poland",68,52,20
"123","Portugal",112,39.5,-8
"124","Qatar",320,25.5,51.25
"125","Réunion",5,-21.1,55.6
"126","Romania",89,46,25
"127","Russia",45,60,100
"128","San Marino",80,43.7667,12.4167
"129","Saudi Arabia",86,25,45
"130","Senegal",10,14,-14
"131","Serbia",35,44,21
"132","Singapore",200,1.3667,103.8
"133","Slovakia",32,48.6667,19.5
"134","Slovenia",141,46,15
"135","South Africa",24,-29,24
"136","Spain",5232,40,-4
"137","Sri Lanka",6,7,81
"138","Sudan",1,15,30
"139","Sweden",814,62,15
"140","Taiwan",50,23.5,121
"141","Thailand",75,15,100
"142","Togo",1,8,1.1667
"143","Tunisia",16,34,9
"144","Turkey",5,39,35
"145","Ukraine",3,49,32
"146","United Arab Emirates",85,24,54
"147","United Kingdom",801,54,-2
"148","United States",2179,38,-97
"149","Vietnam",47,16,106
