"","Country","cases","lat","lng"
"1","Geneva",38,46.2017559,6.1466014
"2","Vaud",38,46.6356963,6.5320717
"3","Basel City",25,47.5579097,7.5927728
"4","Aargau",14,47.412396,8.1948321
"5","Zurich",34,47.3723941,8.5423328
"6","Ticino",57,46.3356506,8.753706
"7","Graubünden",17,46.6960615,9.6027351
"8","Valais",5,46.2303063,7.6605757
"9","Basel Country",19,47.4839723,7.7347783
"10","Bern",31,46.8739775,7.5631943
"11","Fribourg",7,46.6789116,7.1027113
"12","Zug",6,47.1486137,8.5539378
"13","Schwyz",7,47.0571976,8.7222073
"14","Neuchâtel",13,46.9895828,6.9292641
"15","St. Gallen",2,47.2033184,9.3507024
"16","Lucerne",6,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",3,47.3960076,9.3705839
"18","Jura",3,47.3370866,7.2440935
"19","Thurgau",1,47.5859649,9.1428769
"20","Solothurn",1,47.31874,7.6698284
"21","Appenzell Innerrhoden",1,47.3007262,9.3991527
"22","Afghanistan",1,33,65
"23","Algeria",17,28,3
"24","Andorra",1,42.5,1.6
"25","Argentina",8,-34,-64
"26","Armenia",1,40,45
"27","Australia",63,-27,133
"28","Austria",79,47.3333,13.3333
"29","Azerbaijan",9,40.5,47.5
"30","Bahrain",85,26,50.55
"31","Belarus",6,53,28
"32","Belgium",169,50.8333,4
"33","Bhutan",1,27.5,90.5
"34","Bosnia and Herzegovina",3,44,18
"35","Brazil",13,-10,-55
"36","Cambodia",1,13,105
"37","Cameroon",1,6,12
"38","Canada",54,60,-95
"39","Chile",4,-30,-71
"40","China",80662,35,105
"41","Colombia",1,4,-72
"42","Costa Rica",1,10,-84
"43","Croatia",12,45.1667,15.5
"44","Czech Republic",19,49.75,15.5
"45","Denmark",23,56,10
"46","Dominican Republic",2,19,-70.6667
"47","Ecuador",13,-2,-77.5
"48","Egypt",15,27,30
"49","Estonia",10,59,26
"50","Faroe Islands",1,62,-7
"51","Finland",15,64,26
"52","France",949,46,2
"53","French Guiana",5,4,-53
"54","Georgia",4,42,43.5
"55","Germany",799,51,9
"56","Gibraltar",1,36.1833,-5.3667
"57","Greece",46,39,22
"58","Holy See (Vatican City State)",1,41.9,12.45
"59","Hong Kong",108,22.25,114.1667
"60","Hungary",4,47,20
"61","Iceland",50,65,-18
"62","India",34,20,77
"63","Indonesia",4,-5,120
"64","Iran, Islamic Republic of",5823,32,53
"65","Iraq",54,33,44
"66","Ireland",18,53,-8
"67","Israel",21,31.5,34.75
"68","Italy",5883,42.8333,12.8333
"69","Japan",461,36,138
"70","Jordan",1,31,36
"71","Kuwait",61,29.3375,47.6581
"72","Latvia",1,57,25
"73","Lebanon",22,33.8333,35.8333
"74","Liechtenstein",1,47.1667,9.5333
"75","Lithuania",1,56,24
"76","Luxembourg",2,49.75,6.1667
"77","Macedonia, the former Yugoslav Republic of",3,41.8333,22
"78","Malaysia",93,2.5,112.5
"79","Malta",3,35.8333,14.5833
"80","Martinique",5,14.6667,-61
"81","Mexico",6,23,-102
"82","Monaco",1,43.7333,7.4
"83","Morocco",2,32,-5
"84","Nepal",1,28,84
"85","Netherlands",188,52.5,5.75
"86","New Zealand",5,-41,174
"87","Nigeria",1,10,8
"88","Norway",147,62,10
"89","Oman",16,21,57
"90","Pakistan",6,30,70
"91","Palestinian Territory, Occupied",22,32,35.25
"92","Peru",1,-10,-76
"93","Philippines",6,13,122
"94","Poland",5,52,20
"95","Portugal",20,39.5,-8
"96","Qatar",8,25.5,51.25
"97","Romania",9,46,25
"98","Russia",13,60,100
"99","San Marino",23,43.7667,12.4167
"100","Saudi Arabia",5,25,45
"101","Senegal",4,14,-14
"102","Serbia",1,44,21
"103","Singapore",138,1.3667,103.8
"104","Slovakia",1,48.6667,19.5
"105","Slovenia",7,46,15
"106","South Africa",1,-29,24
"107","South Korea",7041,37,127.5
"108","Spain",500,40,-4
"109","Sri Lanka",1,7,81
"110","Sweden",161,62,15
"111","Taiwan",45,23.5,121
"112","Thailand",50,15,100
"113","Togo",1,8,1.1667
"114","Tunisia",1,34,9
"115","Ukraine",1,49,32
"116","United Arab Emirates",45,24,54
"117","United Kingdom",206,54,-2
"118","United States",417,38,-97
"119","Vietnam",18,16,106
