"","Country","cases","lat","lng"
"1","Geneva",8,46.2017559,6.1466014
"2","Vaud",1,46.6356963,6.5320717
"3","Basel City",3,47.5579097,7.5927728
"4","Aargau",2,47.412396,8.1948321
"5","Zurich",9,47.3723941,8.5423328
"6","Ticino",1,46.3356506,8.753706
"7","Graubünden",9,46.6960615,9.6027351
"8","Valais",2,46.2303063,7.6605757
"9","Basel Country",3,47.4839723,7.7347783
"10","Bern",2,46.8739775,7.5631943
"11","Fribourg",2,46.6789116,7.1027113
"12","Afghanistan",1,33,65
"13","Algeria",1,28,3
"14","Armenia",1,40,45
"15","Australia",27,-27,133
"16","Austria",14,47.3333,13.3333
"17","Azerbaijan",3,40.5,47.5
"18","Bahrain",47,26,50.55
"19","Belarus",1,53,28
"20","Belgium",2,50.8333,4
"21","Brazil",2,-10,-55
"22","Cambodia",1,13,105
"23","Canada",24,60,-95
"24","China",79836,35,105
"25","Croatia",7,45.1667,15.5
"26","Czech Republic",3,49.75,15.5
"27","Denmark",4,56,10
"28","Dominican Republic",1,19,-70.6667
"29","Ecuador",6,-2,-77.5
"30","Egypt",2,27,30
"31","Estonia",1,59,26
"32","Finland",6,64,26
"33","France",130,46,2
"34","Georgia",3,42,43.5
"35","Germany",130,51,9
"36","Greece",7,39,22
"37","Hong Kong",96,22.25,114.1667
"38","Iceland",3,65,-18
"39","India",3,20,77
"40","Iran, Islamic Republic of",978,32,53
"41","Iraq",19,33,44
"42","Ireland",1,53,-8
"43","Israel",10,31.5,34.75
"44","Italy",1694,42.8333,12.8333
"45","Japan",256,36,138
"46","Kuwait",45,29.3375,47.6581
"47","Lebanon",10,33.8333,35.8333
"48","Lithuania",1,56,24
"49","Luxembourg",1,49.75,6.1667
"50","Macedonia, the former Yugoslav Republic of",1,41.8333,22
"51","Malaysia",29,2.5,112.5
"52","Mexico",5,23,-102
"53","Monaco",1,43.7333,7.4
"54","Nepal",1,28,84
"55","Netherlands",10,52.5,5.75
"56","New Zealand",1,-41,174
"57","Nigeria",1,10,8
"58","Norway",19,62,10
"59","Oman",6,21,57
"60","Pakistan",4,30,70
"61","Philippines",3,13,122
"62","Qatar",3,25.5,51.25
"63","Romania",3,46,25
"64","Russia",2,60,100
"65","San Marino",1,43.7667,12.4167
"66","Singapore",106,1.3667,103.8
"67","South Korea",3736,37,127.5
"68","Spain",84,40,-4
"69","Sri Lanka",1,7,81
"70","Sweden",14,62,15
"71","Taiwan",40,23.5,121
"72","Thailand",42,15,100
"73","United Arab Emirates",21,24,54
"74","United Kingdom",36,54,-2
"75","United States",76,38,-97
"76","Vietnam",16,16,106
