"","country","cases","rate","lat","lng"
"126","France",360,0,17.9,-62.8333
"127","France",24,0,46.8852,-56.3159
"128","France",1234,0,18.0708,-63.0501
"129","France",5,0,-14.2938,-178.1165
"130","France",3284085,45287,46.2276,2.2137
"131","Gabon",11457,328,-0.8037,11.6094
"132","Gambia",4184,0,13.4432,-15.3101
"133","Georgia",261018,538,42.3154,43.3569
"134","Germany",2276371,10835,51.165691,10.451526
"135","Ghana",70046,791,7.9465,-1.0232
"136","Greece",162107,1172,39.0742,21.8243
"137","Grenada",148,0,12.1165,-61.679
"138","Guatemala",162295,630,15.7835,-90.2308
"139","Guinea",14629,0,9.9456,-9.6966
"140","Guinea-Bissau",2752,90,11.8037,-15.1804
"141","Guyana",7887,107,4.860416,-58.93018
"142","Haiti",11692,0,18.9712,-72.2852
"143","Holy See",27,0,41.9029,12.4534
"144","Honduras",153253,1028,15.2,-86.2419
"145","Hungary",373564,1576,47.1625,19.5033
"146","Iceland",6021,5,64.9631,-19.0208
"147","India",10814304,11713,20.593684,78.96288
"148","Indonesia",1134854,11749,-0.7893,113.9213
"149","Iran",1452380,7054,32.427908,53.688046
"150","Iraq",625756,1534,33.223191,43.679291
"151","Ireland",201763,1019,53.1424,-7.6921
"152","Israel",680856,5238,31.046051,34.851612
"153","Italy",2611659,14213,41.87194,12.56738
"154","Jamaica",16513,263,18.1096,-77.2975
"155","Japan",401858,2366,36.204824,138.252924
"156","Jordan",332990,1222,31.24,36.51
"157","Kazakhstan",240983,0,48.0196,66.9237
"158","Kenya",101534,195,-0.0236,37.9062
"159","Korea, South",80524,393,35.907757,127.766922
"160","Kosovo",61688,284,42.602636,20.902977
"161","Kuwait",169190,940,29.31166,47.481766
"162","Kyrgyzstan",84920,0,41.20438,74.766098
"163","Laos",45,0,19.85627,102.495496
"164","Latvia",70276,876,56.8796,24.6032
"165","Lebanon",315340,3071,33.8547,35.8623
"166","Lesotho",9216,247,-29.61,28.2336
"167","Liberia",1956,11,6.428055,-9.429499
"168","Libya",122894,881,26.3351,17.228331
"169","Liechtenstein",2518,5,47.14,9.55
"170","Lithuania",185601,653,55.1694,23.8813
"171","Luxembourg",51512,182,49.8153,6.1296
"172","MS Zaandam",9,0,0,0
"173","Madagascar",19065,0,-18.766947,46.869107
"174","Malawi",26360,476,-13.2543,34.3015
"175","Malaysia",234874,3391,4.210484,101.975766
"176","Maldives",16547,137,3.2028,73.2207
"177","Mali",8145,15,17.570692,-3.996166
"178","Malta",18442,57,35.9375,14.3754
"179","Marshall Islands",4,0,7.1315,171.1845
"180","Mauritania",16777,37,21.0079,-10.9408
"181","Mauritius",584,0,-20.348404,57.552152
"182","Mexico",1912871,26626,23.6345,-102.5528
"183","Micronesia",1,0,7.4256,150.5508
"184","Moldova",163400,776,47.4116,28.3699
"185","Monaco",1625,29,43.7333,7.4167
"186","Mongolia",1989,61,46.8625,103.8467
"187","Montenegro",64168,535,42.708678,19.37439
"188","Morocco",474379,712,31.7917,-7.0926
"189","Mozambique",43184,696,-18.665695,35.529562
"190","Namibia",34615,96,-22.9576,18.4904
"191","Nepal",271707,105,28.1667,84.25
"192","Netherlands",7168,34,12.5211,-69.9683
"193","Netherlands",196,0,12.1784,-68.2385
"194","Netherlands",4600,3,12.1696,-68.99
"195","Netherlands",1921,10,18.0425,-63.0548
"196","Netherlands",997751,4321,52.1326,5.2913
"197","New Zealand",2315,0,-40.9006,174.886
"198","Nicaragua",6299,0,12.865416,-85.207229
"199","Niger",4589,14,17.607789,8.081666
"200","Nigeria",137654,1624,9.082,8.6753
"201","North Macedonia",94196,314,41.6086,21.7453
"202","Norway",64483,271,60.472,8.4689
"203","Oman",135041,0,21.512583,55.923255
"204","Pakistan",553128,1286,30.3753,69.3451
"205","Panama",325487,998,8.538,-80.7821
"206","Papua New Guinea",891,24,-6.314993,143.95555
"207","Paraguay",136890,867,-23.4425,-58.4438
"208","Peru",1165052,6715,-9.19,-75.0152
"209","Philippines",533587,1888,12.879721,121.774017
"210","Poland",1539564,6053,51.9194,19.1451
"211","Portugal",755774,6916,39.3999,-8.2245
"212","Qatar",153296,398,25.3548,51.1839
