"","Country","cases","date","day","rate"
"742","France",4513,2020-03-16,2.77258872223978,33
"771","Germany",5795,2020-03-16,2.77258872223978,1210
"951","Italy",24747,2020-03-16,2.77258872223978,3590
"972","Japan",839,2020-03-16,2.77258872223978,66
"151","Spain",7798,2020-03-16,2.77258872223978,1407
"165","United Kingdom",1144,2020-03-16,2.77258872223978,NA
"166","United States",3499,2020-03-16,2.77258872223978,773
"121","Switzerland",2181,2020-03-16,2.77258872223978,NA
"752","France",6650,2020-03-17,2.83321334405622,2137
"79","Germany",7272,2020-03-17,2.83321334405622,1477
"99","Italy",27980,2020-03-17,2.83321334405622,3233
"101","Japan",825,2020-03-17,2.83321334405622,-14
"159","Spain",9942,2020-03-17,2.83321334405622,2144
"174","United Kingdom",1551,2020-03-17,2.83321334405622,407
"175","United States",4632,2020-03-17,2.83321334405622,1133
"124","Switzerland",2650,2020-03-17,2.83321334405622,469
"761","France",7683,2020-03-18,2.89037175789616,1033
"811","Germany",9257,2020-03-18,2.89037175789616,1985
"1011","Italy",31506,2020-03-18,2.89037175789616,3526
"103","Japan",878,2020-03-18,2.89037175789616,53
"162","Spain",11748,2020-03-18,2.89037175789616,1806
"177","United Kingdom",1960,2020-03-18,2.89037175789616,409
"178","United States",6421,2020-03-18,2.89037175789616,1789
"127","Switzerland",3028,2020-03-18,2.89037175789616,378
"772","France",9052,2020-03-19,2.94443897916644,1369
"822","Germany",12327,2020-03-19,2.94443897916644,3070
"102","Italy",35713,2020-03-19,2.94443897916644,4207
"104","Japan",889,2020-03-19,2.94443897916644,11
"1641","Spain",13910,2020-03-19,2.94443897916644,2162
"179","United Kingdom",2642,2020-03-19,2.94443897916644,682
"180","United States",7786,2020-03-19,2.94443897916644,1365
"129","Switzerland",3888,2020-03-19,2.94443897916644,860
"801","France",10886,2020-03-20,2.99573227355399,1834
"85","Germany",15320,2020-03-20,2.99573227355399,2993
"1052","Italy",41035,2020-03-20,2.99573227355399,5322
"107","Japan",924,2020-03-20,2.99573227355399,35
"168","Spain",17963,2020-03-20,2.99573227355399,4053
"183","United Kingdom",2716,2020-03-20,2.99573227355399,74
"184","United States",13680,2020-03-20,2.99573227355399,5894
"130","Switzerland",4840,2020-03-20,2.99573227355399,952
"791","France",12632,2020-03-21,3.04452243772342,1746
"84","Germany",19848,2020-03-21,3.04452243772342,4528
"1053","Italy",47021,2020-03-21,3.04452243772342,5986
"1071","Japan",963,2020-03-21,3.04452243772342,39
"171","Spain",20410,2020-03-21,3.04452243772342,2447
"186","United Kingdom",4014,2020-03-21,3.04452243772342,1298
"187","United States",19101,2020-03-21,3.04452243772342,5421
"131","Switzerland",6256,2020-03-21,3.04452243772342,1416
"802","France",14308,2020-03-22,3.09104245335832,1676
"851","Germany",22213,2020-03-22,3.09104245335832,2365
"1061","Italy",53578,2020-03-22,3.09104245335832,6557
"1081","Japan",1007,2020-03-22,3.09104245335832,44
"172","Spain",25374,2020-03-22,3.09104245335832,4964
"189","United Kingdom",5067,2020-03-22,3.09104245335832,1053
"190","United States",25493,2020-03-22,3.09104245335832,6392
"134","Switzerland",7185,2020-03-22,3.09104245335832,929
