"","Country","cases","lat","lng"
"1","Geneva",7,46.2017559,6.1466014
"2","Vaud",9,46.6356963,6.5320717
"3","Basel City",8,47.5579097,7.5927728
"4","Aargau",9,47.412396,8.1948321
"5","Zurich",20,47.3723941,8.5423328
"6","Ticino",18,46.3356506,8.753706
"7","Graubünden",9,46.6960615,9.6027351
"8","Valais",3,46.2303063,7.6605757
"9","Basel Country",6,47.4839723,7.7347783
"10","Bern",4,46.8739775,7.5631943
"11","Fribourg",4,46.6789116,7.1027113
"12","Zug",3,47.1486137,8.5539378
"13","Schwyz",3,47.0571976,8.7222073
"14","Neuchâtel",5,46.9895828,6.9292641
"15","St. Gallen",1,47.2033184,9.3507024
"16","Lucerne",2,47.0505452,8.3054682
"17","Afghanistan",1,33,65
"18","Algeria",12,28,3
"19","Andorra",1,42.5,1.6
"20","Argentina",1,-34,-64
"21","Armenia",1,40,45
"22","Australia",52,-27,133
"23","Austria",29,47.3333,13.3333
"24","Azerbaijan",3,40.5,47.5
"25","Bahrain",52,26,50.55
"26","Belarus",6,53,28
"27","Belgium",23,50.8333,4
"28","Brazil",4,-10,-55
"29","Cambodia",1,13,105
"30","Canada",33,60,-95
"31","Chile",1,-30,-71
"32","China",80281,35,105
"33","Croatia",10,45.1667,15.5
"34","Czech Republic",8,49.75,15.5
"35","Denmark",10,56,10
"36","Dominican Republic",1,19,-70.6667
"37","Ecuador",10,-2,-77.5
"38","Egypt",2,27,30
"39","Estonia",2,59,26
"40","Faroe Islands",1,62,-7
"41","Finland",6,64,26
"42","France",285,46,2
"43","Georgia",3,42,43.5
"44","Germany",262,51,9
"45","Gibraltar",1,36.1833,-5.3667
"46","Greece",9,39,22
"47","Hong Kong",105,22.25,114.1667
"48","Hungary",2,47,20
"49","Iceland",26,65,-18
"50","India",28,20,77
"51","Indonesia",2,-5,120
"52","Iran, Islamic Republic of",2922,32,53
"53","Iraq",35,33,44
"54","Ireland",6,53,-8
"55","Israel",15,31.5,34.75
"56","Italy",3089,42.8333,12.8333
"57","Japan",331,36,138
"58","Jordan",1,31,36
"59","Kuwait",56,29.3375,47.6581
"60","Latvia",1,57,25
"61","Lebanon",13,33.8333,35.8333
"62","Liechtenstein",1,47.1667,9.5333
"63","Lithuania",1,56,24
"64","Luxembourg",1,49.75,6.1667
"65","Macedonia, the former Yugoslav Republic of",1,41.8333,22
"66","Malaysia",50,2.5,112.5
"67","Martinique",3,14.6667,-61
"68","Mexico",5,23,-102
"69","Monaco",1,43.7333,7.4
"70","Morocco",1,32,-5
"71","Nepal",1,28,84
"72","Netherlands",38,52.5,5.75
"73","New Zealand",3,-41,174
"74","Nigeria",1,10,8
"75","Norway",56,62,10
"76","Oman",15,21,57
"77","Pakistan",5,30,70
"78","Philippines",3,13,122
"79","Poland",1,52,20
"80","Portugal",5,39.5,-8
"81","Qatar",8,25.5,51.25
"82","Romania",4,46,25
"83","Russia",3,60,100
"84","San Marino",16,43.7667,12.4167
"85","Saudi Arabia",1,25,45
"86","Senegal",4,14,-14
"87","Singapore",110,1.3667,103.8
"88","South Korea",5621,37,127.5
"89","Spain",222,40,-4
"90","Sri Lanka",1,7,81
"91","Sweden",35,62,15
"92","Taiwan",42,23.5,121
"93","Thailand",43,15,100
"94","Tunisia",1,34,9
"95","Ukraine",1,49,32
"96","United Arab Emirates",27,24,54
"97","United Kingdom",85,54,-2
"98","United States",153,38,-97
"99","Vietnam",16,16,106
