"","Country","cases","lat","lng"
"1","Geneva",78,46.2017559,6.1466014
"2","Vaud",108,46.6356963,6.5320717
"3","Basel City",39,47.5579097,7.5927728
"4","Aargau",22,47.412396,8.1948321
"5","Zurich",59,47.3723941,8.5423328
"6","Ticino",120,46.3356506,8.753706
"7","Graubünden",23,46.6960615,9.6027351
"8","Valais",18,46.2303063,7.6605757
"9","Basel Country",23,47.4839723,7.7347783
"10","Bern",41,46.8739775,7.5631943
"11","Fribourg",16,46.6789116,7.1027113
"12","Zug",7,47.1486137,8.5539378
"13","Schwyz",8,47.0571976,8.7222073
"14","Neuchâtel",27,46.9895828,6.9292641
"15","St. Gallen",10,47.2033184,9.3507024
"16","Lucerne",8,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",2,47.3960076,9.3705839
"18","Jura",5,47.3370866,7.2440935
"19","Thurgau",4,47.5859649,9.1428769
"20","Solothurn",3,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Glarus",2,46.9796562,9.108812
"23","Schaffhausen",1,47.7151451,8.519796
"24","Nidwalden",4,46.942756,8.4119773
"25","Afghanistan",5,33,65
"26","Albania",10,41,20
"27","Algeria",20,28,3
"28","Andorra",1,42.5,1.6
"29","Argentina",17,-34,-64
"30","Armenia",1,40,45
"31","Australia",107,-27,133
"32","Austria",182,47.3333,13.3333
"33","Azerbaijan",11,40.5,47.5
"34","Bahrain",110,26,50.55
"35","Bangladesh",3,24,90
"36","Belarus",9,53,28
"37","Belgium",267,50.8333,4
"38","Bhutan",1,27.5,90.5
"39","Bosnia and Herzegovina",5,44,18
"40","Brazil",31,-10,-55
"41","Brunei",1,4.5,114.6667
"42","Bulgaria",4,43,25
"43","Burkina Faso",1,13,-2
"44","Cambodia",2,13,105
"45","Cameroon",2,6,12
"46","Canada",79,60,-95
"47","Chile",13,-30,-71
"48","China",80757,35,105
"49","Colombia",3,4,-72
"50","Costa Rica",9,10,-84
"51","Croatia",14,45.1667,15.5
"52","Cyprus",3,35,33
"53","Czech Republic",41,49.75,15.5
"54","Denmark",262,56,10
"55","Dominican Republic",5,19,-70.6667
"56","Ecuador",15,-2,-77.5
"57","Egypt",59,27,30
"58","Estonia",12,59,26
"59","Faroe Islands",2,62,-7
"60","Finland",40,64,26
"61","France",1784,46,2
"62","French Guiana",5,4,-53
"63","Georgia",15,42,43.5
"64","Germany",1457,51,9
"65","Gibraltar",1,36.1833,-5.3667
"66","Greece",89,39,22
"67","Holy See (Vatican City State)",1,41.9,12.45
"68","Hong Kong",120,22.25,114.1667
"69","Hungary",9,47,20
"70","Iceland",69,65,-18
"71","India",56,20,77
"72","Indonesia",27,-5,120
"73","Iran, Islamic Republic of",8042,32,53
"74","Iraq",71,33,44
"75","Ireland",34,53,-8
"76","Israel",58,31.5,34.75
"77","Italy",10149,42.8333,12.8333
"78","Japan",581,36,138
"79","Jordan",1,31,36
"80","Korea, Republic of",7513,37,127.5
"81","Kuwait",69,29.3375,47.6581
"82","Latvia",8,57,25
"83","Lebanon",41,33.8333,35.8333
"84","Liechtenstein",1,47.1667,9.5333
"85","Lithuania",1,56,24
"86","Luxembourg",5,49.75,6.1667
"87","Macao",10,22.1667,113.55
"88","Macedonia, the former Yugoslav Republic of",7,41.8333,22
"89","Malaysia",129,2.5,112.5
"90","Maldives",6,3.25,73
"91","Malta",5,35.8333,14.5833
"92","Martinique",5,14.6667,-61
"93","Mexico",7,23,-102
"94","Moldova, Republic of",3,47,29
"95","Monaco",1,43.7333,7.4
"96","Mongolia",1,46,105
"97","Morocco",3,32,-5
"98","Nepal",1,28,84
"99","Netherlands",382,52.5,5.75
"100","New Zealand",5,-41,174
"101","Nigeria",2,10,8
"102","Norway",400,62,10
"103","Oman",18,21,57
"104","Pakistan",16,30,70
"105","Palestinian Territory, Occupied",25,32,35.25
"106","Panama",1,9,-80
"107","Paraguay",1,-23,-58
"108","Peru",11,-10,-76
"109","Philippines",33,13,122
"110","Poland",22,52,20
"111","Portugal",41,39.5,-8
"112","Qatar",24,25.5,51.25
"113","Romania",25,46,25
"114","Russian Federation",10,60,100
"115","San Marino",51,43.7667,12.4167
"116","Saudi Arabia",20,25,45
"117","Senegal",4,14,-14
"118","Serbia",5,44,21
"119","Singapore",160,1.3667,103.8
"120","Slovakia",7,48.6667,19.5
"121","Slovenia",31,46,15
"122","South Africa",7,-29,24
"123","Spain",1695,40,-4
"124","Sri Lanka",1,7,81
"125","Sweden",355,62,15
"126","Taiwan",47,23.5,121
"127","Thailand",53,15,100
"128","Togo",1,8,1.1667
"129","Tunisia",5,34,9
"130","Ukraine",1,49,32
"131","United Arab Emirates",74,24,54
"132","United Kingdom",383,54,-2
"133","United States",959,38,-97
"134","Viet Nam",31,16,106
