"","Country","cases","deaths","lat","lng"
"158","Slovakia",72,0,48.6667,19.5
"159","Slovenia",275,1,46,15
"160","Somalia",1,0,10,49
"161","South Africa",62,0,-29,24
"162","Spain",11748,533,40,-4
"163","Sri Lanka",44,0,7,81
"164","Sudan",1,1,15,30
"165","Suriname",1,0,4,-56
"166","Swaziland",1,0,-26.5,31.5
"167","Sweden",1190,7,62,15
"168","Taiwan",77,1,23.5,121
"169","Tanzania, United Republic of",1,0,-6,35
"170","Thailand",177,1,15,100
"171","Togo",1,0,8,1.1667
"172","Trinidad and Tobago",5,0,11,-61
"173","Tunisia",24,0,34,9
"174","Turkey",47,1,39,35
"175","Ukraine",14,2,49,32
"176","United Arab Emirates",98,0,24,54
"177","United Kingdom",1960,56,54,-2
"178","United States",6421,108,38,-97
"179","Uruguay",29,0,-33,-56
"180","Uzbekistan",10,0,41,64
"181","Venezuela",33,0,8,-66
"182","Vietnam",66,0,16,106
