"","Country","cases","lat","lng"
"1","Geneva",52,46.2017559,6.1466014
"2","Vaud",76,46.6356963,6.5320717
"3","Basel City",39,47.5579097,7.5927728
"4","Aargau",22,47.412396,8.1948321
"5","Zurich",45,47.3723941,8.5423328
"6","Ticino",89,46.3356506,8.753706
"7","Graubünden",18,46.6960615,9.6027351
"8","Valais",15,46.2303063,7.6605757
"9","Basel Country",21,47.4839723,7.7347783
"10","Bern",39,46.8739775,7.5631943
"11","Fribourg",12,46.6789116,7.1027113
"12","Zug",7,47.1486137,8.5539378
"13","Schwyz",7,47.0571976,8.7222073
"14","Neuchâtel",27,46.9895828,6.9292641
"15","St. Gallen",7,47.2033184,9.3507024
"16","Lucerne",6,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",2,47.3960076,9.3705839
"18","Jura",3,47.3370866,7.2440935
"19","Thurgau",1,47.5859649,9.1428769
"20","Solothurn",1,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Afghanistan",4,33,65
"23","Albania",2,41,20
"24","Algeria",20,28,3
"25","Andorra",1,42.5,1.6
"26","Argentina",12,-34,-64
"27","Armenia",1,40,45
"28","Australia",91,-27,133
"29","Austria",131,47.3333,13.3333
"30","Azerbaijan",9,40.5,47.5
"31","Bahrain",95,26,50.55
"32","Bangladesh",3,24,90
"33","Belarus",6,53,28
"34","Belgium",239,50.8333,4
"35","Bhutan",1,27.5,90.5
"36","Bosnia and Herzegovina",3,44,18
"37","Brazil",25,-10,-55
"38","Brunei",1,4.5,114.6667
"39","Bulgaria",4,43,25
"40","Cambodia",2,13,105
"41","Cameroon",2,6,12
"42","Canada",76,60,-95
"43","Chile",8,-30,-71
"44","China",80745,35,105
"45","Colombia",1,4,-72
"46","Costa Rica",9,10,-84
"47","Croatia",12,45.1667,15.5
"48","Cyprus",2,35,33
"49","Czech Republic",31,49.75,15.5
"50","Denmark",90,56,10
"51","Dominican Republic",5,19,-70.6667
"52","Ecuador",15,-2,-77.5
"53","Egypt",55,27,30
"54","Estonia",10,59,26
"55","Faroe Islands",2,62,-7
"56","Finland",30,64,26
"57","France",1209,46,2
"58","French Guiana",5,4,-53
"59","Georgia",15,42,43.5
"60","Germany",1176,51,9
"61","Gibraltar",1,36.1833,-5.3667
"62","Greece",73,39,22
"63","Holy See (Vatican City State)",1,41.9,12.45
"64","Hong Kong",115,22.25,114.1667
"65","Hungary",9,47,20
"66","Iceland",58,65,-18
"67","India",43,20,77
"68","Indonesia",19,-5,120
"69","Iran, Islamic Republic of",7161,32,53
"70","Iraq",60,33,44
"71","Ireland",21,53,-8
"72","Israel",39,31.5,34.75
"73","Italy",9172,42.8333,12.8333
"74","Japan",511,36,138
"75","Jordan",1,31,36
"76","Kuwait",64,29.3375,47.6581
"77","Latvia",6,57,25
"78","Lebanon",32,33.8333,35.8333
"79","Liechtenstein",1,47.1667,9.5333
"80","Lithuania",1,56,24
"81","Luxembourg",3,49.75,6.1667
"82","Macedonia, the former Yugoslav Republic of",3,41.8333,22
"83","Malaysia",117,2.5,112.5
"84","Maldives",4,3.25,73
"85","Malta",3,35.8333,14.5833
"86","Martinique",5,14.6667,-61
"87","Mexico",7,23,-102
"88","Moldova, Republic of",1,47,29
"89","Monaco",1,43.7333,7.4
"90","Morocco",2,32,-5
"91","Nepal",1,28,84
"92","Netherlands",321,52.5,5.75
"93","New Zealand",5,-41,174
"94","Nigeria",2,10,8
"95","Norway",205,62,10
"96","Oman",16,21,57
"97","Pakistan",6,30,70
"98","Palestinian Territory, Occupied",22,32,35.25
"99","Paraguay",1,-23,-58
"100","Peru",7,-10,-76
"101","Philippines",20,13,122
"102","Poland",16,52,20
"103","Portugal",30,39.5,-8
"104","Qatar",18,25.5,51.25
"105","Romania",15,46,25
"106","Russia",17,60,100
"107","San Marino",36,43.7667,12.4167
"108","Saudi Arabia",15,25,45
"109","Senegal",4,14,-14
"110","Serbia",1,44,21
"111","Singapore",150,1.3667,103.8
"112","Slovakia",3,48.6667,19.5
"113","Slovenia",16,46,15
"114","South Africa",3,-29,24
"115","South Korea",7478,37,127.5
"116","Spain",1073,40,-4
"117","Sri Lanka",1,7,81
"118","Sweden",248,62,15
"119","Taiwan",45,23.5,121
"120","Thailand",50,15,100
"121","Togo",1,8,1.1667
"122","Tunisia",2,34,9
"123","Ukraine",1,49,32
"124","United Arab Emirates",45,24,54
"125","United Kingdom",321,54,-2
"126","United States",605,38,-97
"127","Vietnam",30,16,106
