"","Country","cases","lat","lng"
"1","Geneva",38,46.2017559,6.1466014
"2","Vaud",47,46.6356963,6.5320717
"3","Basel City",29,47.5579097,7.5927728
"4","Aargau",14,47.412396,8.1948321
"5","Zurich",40,47.3723941,8.5423328
"6","Ticino",66,46.3356506,8.753706
"7","Graubünden",17,46.6960615,9.6027351
"8","Valais",5,46.2303063,7.6605757
"9","Basel Country",19,47.4839723,7.7347783
"10","Bern",34,46.8739775,7.5631943
"11","Fribourg",7,46.6789116,7.1027113
"12","Zug",6,47.1486137,8.5539378
"13","Schwyz",7,47.0571976,8.7222073
"14","Neuchâtel",17,46.9895828,6.9292641
"15","St. Gallen",2,47.2033184,9.3507024
"16","Lucerne",5,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",2,47.3960076,9.3705839
"18","Jura",3,47.3370866,7.2440935
"19","Thurgau",2,47.5859649,9.1428769
"20","Solothurn",1,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Afghanistan",4,33,65
"23","Algeria",19,28,3
"24","Andorra",1,42.5,1.6
"25","Argentina",12,-34,-64
"26","Armenia",1,40,45
"27","Australia",76,-27,133
"28","Austria",104,47.3333,13.3333
"29","Azerbaijan",9,40.5,47.5
"30","Bahrain",85,26,50.55
"31","Bangladesh",3,24,90
"32","Belarus",6,53,28
"33","Belgium",200,50.8333,4
"34","Bhutan",1,27.5,90.5
"35","Bosnia and Herzegovina",3,44,18
"36","Brazil",20,-10,-55
"37","Bulgaria",4,43,25
"38","Cambodia",2,13,105
"39","Cameroon",2,6,12
"40","Canada",64,60,-95
"41","Chile",8,-30,-71
"42","China",80709,35,105
"43","Colombia",1,4,-72
"44","Costa Rica",5,10,-84
"45","Croatia",12,45.1667,15.5
"46","Czech Republic",31,49.75,15.5
"47","Denmark",35,56,10
"48","Dominican Republic",5,19,-70.6667
"49","Ecuador",14,-2,-77.5
"50","Egypt",49,27,30
"51","Estonia",10,59,26
"52","Faroe Islands",2,62,-7
"53","Finland",23,64,26
"54","France",1126,46,2
"55","French Guiana",5,4,-53
"56","Georgia",13,42,43.5
"57","Germany",1040,51,9
"58","Gibraltar",1,36.1833,-5.3667
"59","Greece",73,39,22
"60","Holy See (Vatican City State)",1,41.9,12.45
"61","Hong Kong",114,22.25,114.1667
"62","Hungary",7,47,20
"63","Iceland",50,65,-18
"64","India",39,20,77
"65","Indonesia",6,-5,120
"66","Iran, Islamic Republic of",6566,32,53
"67","Iraq",60,33,44
"68","Ireland",40,53,-8
"69","Israel",39,31.5,34.75
"70","Italy",7375,42.8333,12.8333
"71","Japan",502,36,138
"72","Jordan",1,31,36
"73","Kuwait",64,29.3375,47.6581
"74","Latvia",2,57,25
"75","Lebanon",32,33.8333,35.8333
"76","Liechtenstein",1,47.1667,9.5333
"77","Lithuania",1,56,24
"78","Luxembourg",3,49.75,6.1667
"79","Macedonia, the former Yugoslav Republic of",3,41.8333,22
"80","Malaysia",99,2.5,112.5
"81","Maldives",4,3.25,73
"82","Malta",3,35.8333,14.5833
"83","Martinique",5,14.6667,-61
"84","Mexico",7,23,-102
"85","Moldova, Republic of",1,47,29
"86","Monaco",1,43.7333,7.4
"87","Morocco",2,32,-5
"88","Nepal",1,28,84
"89","Netherlands",265,52.5,5.75
"90","New Zealand",5,-41,174
"91","Nigeria",1,10,8
"92","Norway",176,62,10
"93","Oman",16,21,57
"94","Pakistan",6,30,70
"95","Palestinian Territory, Occupied",22,32,35.25
"96","Paraguay",1,-23,-58
"97","Peru",6,-10,-76
"98","Philippines",10,13,122
"99","Poland",11,52,20
"100","Portugal",30,39.5,-8
"101","Qatar",15,25.5,51.25
"102","Romania",15,46,25
"103","Russia",17,60,100
"104","San Marino",36,43.7667,12.4167
"105","Saudi Arabia",11,25,45
"106","Senegal",4,14,-14
"107","Serbia",1,44,21
"108","Singapore",150,1.3667,103.8
"109","Slovakia",3,48.6667,19.5
"110","Slovenia",16,46,15
"111","South Africa",3,-29,24
"112","South Korea",7314,37,127.5
"113","Spain",673,40,-4
"114","Sri Lanka",1,7,81
"115","Sweden",203,62,15
"116","Taiwan",45,23.5,121
"117","Thailand",50,15,100
"118","Togo",1,8,1.1667
"119","Tunisia",2,34,9
"120","Ukraine",1,49,32
"121","United Arab Emirates",45,24,54
"122","United Kingdom",273,54,-2
"123","United States",537,38,-97
"124","Vietnam",30,16,106
