"","Country","cases","lat","lng"
"1","AG",168,47.389616,8.052354
"2","AI",6,47.328414,9.409647
"3","AR",11,47.38271,9.27186
"4","BE",377,46.916667,7.466667
"5","BL",282,47.482779,7.742975
"6","BS",299,47.558395,7.573271
"7","FR",NA,46.79572,7.154748
"8","GE",873,46.195602,6.148113
"9","GL",17,47.04057,9.068036
"10","GR",213,46.856753,9.526918
"11","JU",49,47.366429,7.329005
"12","LU",109,47.083333,8.266667
"13","NE",177,46.993089,6.93005
"14","NW",28,46.97731,8.34005
"15","OW",1,46.898509,8.250681
"16","SG",98,47.43162,9.39845
"17","SH",14,47.697316,8.634929
"18","SZ",13,47.027858,8.656112
"19","TG",56,47.55993,8.8998
"20","TI",918,46.009279,8.955576
"21","UR",12,46.880422,8.644409
"22","VD",1432,46.533333,6.666667
"23","VS",282,46.270839,7.317785
"24","ZG",48,47.172421,8.517445
"25","ZH",773,47.366667,8.55
"26","Afghanistan",24,33,65
"27","Albania",70,41,20
"28","Algeria",90,28,3
"29","Andorra",75,42.5,1.6
"30","Angola",1,-12.5,18.5
"31","Antigua and Barbuda",1,17.05,-61.8
"32","Argentina",128,-34,-64
"33","Armenia",136,40,45
"34","Australia",791,-27,133
"35","Austria",2388,47.3333,13.3333
"36","Azerbaijan",44,40.5,47.5
"37","Bahamas",3,24.25,-76
"38","Bahrain",285,26,50.55
"39","Bangladesh",20,24,90
"40","Barbados",5,13.1667,-59.5333
"41","Belarus",69,53,28
"42","Belgium",2257,50.8333,4
"43","Benin",2,9.5,2.25
"44","Bhutan",2,27.5,90.5
"45","Bolivia",15,-17,-65
"46","Bosnia and Herzegovina",89,44,18
"47","Brazil",793,-10,-55
"48","Brunei",78,4.5,114.6667
"49","Bulgaria",127,43,25
"50","Burkina Faso",40,13,-2
"51","Cambodia",51,13,105
"52","Cameroon",20,6,12
"53","Canada",943,60,-95
"54","Cape Verde",1,16,-24
"55","Central African Republic",3,7,21
"56","Chad",1,15,19
"57","Chile",434,-30,-71
"58","China",81250,35,105
"59","Colombia",128,4,-72
"60","Congo",3,-1,15
"61","Congo, the Democratic Republic of the",18,0,25
"62","Costa Rica",89,10,-84
"63","Côte d'Ivoire",9,8,-5
"64","Croatia",128,45.1667,15.5
"65","Cuba",16,21.5,-80
"66","Cyprus",67,35,33
"67","Czech Republic",833,49.75,15.5
"68","Denmark",1337,56,10
"69","Djibouti",1,11.5,43
"70","Dominican Republic",72,19,-70.6667
"71","Ecuador",367,-2,-77.5
"72","Egypt",285,27,30
"73","El Salvador",1,13.8333,-88.9167
"74","Equatorial Guinea",6,2,10
"75","Estonia",283,59,26
"76","Ethiopia",9,8,38
"77","Fiji",1,-18,175
"78","Finland",450,64,26
"79","France",12632,46,2
"80","French Guiana",15,4,-53
"81","Gabon",3,-1,11.75
"82","Gambia",1,13.4667,-16.5667
"83","Georgia",43,42,43.5
"84","Germany",19848,51,9
"85","Ghana",16,8,-2
"86","Greece",495,39,22
"87","Greenland",0,72,-40
"88","Guadeloupe",45,16.25,-61.5833
"89","Guam",0,13.4667,144.7833
"90","Guatemala",12,15.5,-90.25
"91","Guernsey",0,49.5,-2.56
"92","Guinea",1,11,-10
"93","Guyana",7,5,-59
"94","Haiti",2,19,-72.4167
"95","Holy See (Vatican City State)",1,41.9,12.45
"96","Honduras",24,15,-86.5
"97","Hungary",85,47,20
"98","Iceland",409,65,-18
"99","India",244,20,77
"100","Indonesia",369,-5,120
"101","Iran, Islamic Republic of",19644,32,53
"102","Iraq",208,33,44
"103","Ireland",683,53,-8
"104","Israel",705,31.5,34.75
"105","Italy",47021,42.8333,12.8333
"106","Jamaica",16,18.25,-77.5
"107","Japan",963,36,138
"108","Jersey",0,49.21,-2.13
"109","Jordan",85,31,36
"110","Kazakhstan",49,48,68
"111","Kenya",7,1,38
"112","Korea, Republic of",8652,37,127.5
"113","Kuwait",159,29.3375,47.6581
"114","Kyrgyzstan",6,41,75
"115","Latvia",111,57,25
"116","Lebanon",163,33.8333,35.8333
"117","Liberia",2,6.5,-9.5
"118","Liechtenstein",28,47.1667,9.5333
"119","Lithuania",49,56,24
"120","Luxembourg",484,49.75,6.1667
"121","Macedonia, the former Yugoslav Republic of",67,41.8333,22
"122","Madagascar",3,-20,47
"123","Malaysia",1030,2.5,112.5
"124","Maldives",13,3.25,73
"125","Malta",64,35.8333,14.5833
"126","Martinique",32,14.6667,-61
"127","Mauritania",2,20,-12
"128","Mauritius",12,-20.2833,57.55
"129","Mayotte",6,-12.8333,45.1667
"130","Mexico",164,23,-102
"131","Moldova, Republic of",66,47,29
"132","Monaco",11,43.7333,7.4
"133","Mongolia",6,46,105
"134","Montenegro",14,42,19
"135","Morocco",77,32,-5
"136","Namibia",3,-22,17
"137","Nepal",1,28,84
"138","Netherlands",3003,52.5,5.75
"139","New Zealand",39,-41,174
"140","Nicaragua",1,13,-85
"141","Niger",1,16,8
"142","Nigeria",12,10,8
"143","Norway",1914,62,10
"144","Oman",48,21,57
"145","Pakistan",501,30,70
"146","Panama",137,9,-80
"147","Papua New Guinea",1,-6,147
"148","Paraguay",13,-23,-58
"149","Peru",234,-10,-76
"150","Philippines",230,13,122
"151","Poland",425,52,20
"152","Portugal",1020,39.5,-8
"153","Puerto Rico",0,18.25,-66.5
"154","Qatar",470,25.5,51.25
"155","Réunion",28,-21.1,55.6
"156","Romania",308,46,25
"157","Russia",253,60,100
"158","Rwanda",17,-2,30
"159","Saint Lucia",2,13.8833,-61.1333
"160","Saint Vincent and the Grenadines",1,13.25,-61.2
"161","San Marino",144,43.7667,12.4167
"162","Saudi Arabia",344,25,45
"163","Senegal",38,14,-14
"164","Serbia",137,44,21
"165","Seychelles",7,-4.5833,55.6667
"166","Singapore",385,1.3667,103.8
"167","Slovakia",137,48.6667,19.5
"168","Slovenia",341,46,15
"169","Somalia",1,10,49
"170","South Africa",202,-29,24
"171","Spain",20410,40,-4
"172","Sri Lanka",73,7,81
"173","Sudan",2,15,30
"174","Suriname",4,4,-56
"175","Swaziland",1,-26.5,31.5
"176","Sweden",1639,62,15
"177","Taiwan",135,23.5,121
"178","Tanzania, United Republic of",6,-6,35
"179","Thailand",322,15,100
"180","Togo",9,8,1.1667
"181","Trinidad and Tobago",9,11,-61
"182","Tunisia",54,34,9
"183","Turkey",359,39,35
"184","Ukraine",29,49,32
"185","United Arab Emirates",140,24,54
"186","United Kingdom",4014,54,-2
"187","United States",19101,38,-97
"188","Uruguay",94,-33,-56
"189","Uzbekistan",33,41,64
"190","Venezuela",42,8,-66
"191","Vietnam",91,16,106
"192","Zambia",2,-15,30
"193","Zimbabwe",1,-20,30
