"","Country","cases","lat","lng"
"1","Geneva",24,46.2017559,6.1466014
"2","Vaud",30,46.6356963,6.5320717
"3","Basel City",22,47.5579097,7.5927728
"4","Aargau",14,47.412396,8.1948321
"5","Zurich",30,47.3723941,8.5423328
"6","Ticino",42,46.3356506,8.753706
"7","Graubünden",15,46.6960615,9.6027351
"8","Valais",5,46.2303063,7.6605757
"9","Basel Country",13,47.4839723,7.7347783
"10","Bern",20,46.8739775,7.5631943
"11","Fribourg",7,46.6789116,7.1027113
"12","Zug",6,47.1486137,8.5539378
"13","Schwyz",7,47.0571976,8.7222073
"14","Neuchâtel",11,46.9895828,6.9292641
"15","St. Gallen",2,47.2033184,9.3507024
"16","Lucerne",4,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",1,47.3960076,9.3705839
"18","Jura",3,47.3370866,7.2440935
"19","Thurgau",1,47.5859649,9.1428769
"20","Solothurn",1,47.31874,7.6698284
"21","Afghanistan",1,33,65
"22","Algeria",17,28,3
"23","Andorra",1,42.5,1.6
"24","Argentina",2,-34,-64
"25","Armenia",1,40,45
"26","Australia",60,-27,133
"27","Austria",55,47.3333,13.3333
"28","Azerbaijan",6,40.5,47.5
"29","Bahrain",60,26,50.55
"30","Belarus",6,53,28
"31","Belgium",109,50.8333,4
"32","Bhutan",1,27.5,90.5
"33","Bosnia and Herzegovina",2,44,18
"34","Brazil",13,-10,-55
"35","Cambodia",1,13,105
"36","Cameroon",1,6,12
"37","Canada",49,60,-95
"38","Chile",4,-30,-71
"39","China",80583,35,105
"40","Colombia",1,4,-72
"41","Costa Rica",1,10,-84
"42","Croatia",11,45.1667,15.5
"43","Czech Republic",18,49.75,15.5
"44","Denmark",23,56,10
"45","Dominican Republic",2,19,-70.6667
"46","Ecuador",13,-2,-77.5
"47","Egypt",15,27,30
"48","Estonia",10,59,26
"49","Faroe Islands",1,62,-7
"50","Finland",15,64,26
"51","France",653,46,2
"52","Georgia",4,42,43.5
"53","Germany",670,51,9
"54","Gibraltar",1,36.1833,-5.3667
"55","Greece",45,39,22
"56","Holy See (Vatican City State)",1,41.9,12.45
"57","Hong Kong",107,22.25,114.1667
"58","Hungary",2,47,20
"59","Iceland",43,65,-18
"60","India",31,20,77
"61","Indonesia",4,-5,120
"62","Iran, Islamic Republic of",4747,32,53
"63","Iraq",40,33,44
"64","Ireland",18,53,-8
"65","Israel",21,31.5,34.75
"66","Italy",4636,42.8333,12.8333
"67","Japan",420,36,138
"68","Jordan",1,31,36
"69","Kuwait",58,29.3375,47.6581
"70","Latvia",1,57,25
"71","Lebanon",22,33.8333,35.8333
"72","Liechtenstein",1,47.1667,9.5333
"73","Lithuania",1,56,24
"74","Luxembourg",2,49.75,6.1667
"75","Macedonia, the former Yugoslav Republic of",3,41.8333,22
"76","Malaysia",83,2.5,112.5
"77","Martinique",3,14.6667,-61
"78","Mexico",6,23,-102
"79","Monaco",1,43.7333,7.4
"80","Morocco",2,32,-5
"81","Nepal",1,28,84
"82","Netherlands",128,52.5,5.75
"83","New Zealand",4,-41,174
"84","Nigeria",1,10,8
"85","Norway",108,62,10
"86","Oman",16,21,57
"87","Pakistan",6,30,70
"88","Palestinian Territory, Occupied",16,32,35.25
"89","Peru",1,-10,-76
"90","Philippines",5,13,122
"91","Poland",5,52,20
"92","Portugal",13,39.5,-8
"93","Qatar",8,25.5,51.25
"94","Romania",9,46,25
"95","Russia",13,60,100
"96","San Marino",21,43.7667,12.4167
"97","Saudi Arabia",5,25,45
"98","Senegal",4,14,-14
"99","Serbia",1,44,21
"100","Singapore",130,1.3667,103.8
"101","Slovakia",1,48.6667,19.5
"102","Slovenia",7,46,15
"103","South Africa",1,-29,24
"104","South Korea",6593,37,127.5
"105","Spain",400,40,-4
"106","Sri Lanka",1,7,81
"107","Sweden",101,62,15
"108","Taiwan",45,23.5,121
"109","Thailand",48,15,100
"110","Togo",1,8,1.1667
"111","Tunisia",1,34,9
"112","Ukraine",1,49,32
"113","United Arab Emirates",29,24,54
"114","United Kingdom",163,54,-2
"115","United States",278,38,-97
"116","Vietnam",16,16,106
