"","Country","cases","lat","lng"
"1","Geneva",5,46.2017559,6.1466014
"2","Vaud",1,46.6356963,6.5320717
"3","Basel City",1,47.5579097,7.5927728
"4","Aargau",1,47.412396,8.1948321
"5","Zurich",2,47.3723941,8.5423328
"6","Ticino",1,46.3356506,8.753706
"7","Graubünden",6,46.6960615,9.6027351
"8","Valais",1,46.2303063,7.6605757
"9","Basel Country",2,47.4839723,7.7347783
"10","Bern",1,46.8739775,7.5631943
"11","Fribourg",1,46.6789116,7.1027113
"12","Afghanistan",1,33,65
"13","Algeria",1,28,3
"14","Australia",25,-27,133
"15","Austria",9,47.3333,13.3333
"16","Bahrain",41,26,50.55
"17","Belarus",1,53,28
"18","Belgium",1,50.8333,4
"19","Brazil",2,-10,-55
"20","Cambodia",1,13,105
"21","Canada",20,60,-95
"22","China",79261,35,105
"23","Croatia",6,45.1667,15.5
"24","Denmark",3,56,10
"25","Egypt",1,27,30
"26","Estonia",1,59,26
"27","Finland",3,64,26
"28","France",100,46,2
"29","Georgia",1,42,43.5
"30","Germany",79,51,9
"31","Greece",4,39,22
"32","Hong Kong",95,22.25,114.1667
"33","Iceland",1,65,-18
"34","India",3,20,77
"35","Iran, Islamic Republic of",593,32,53
"36","Iraq",13,33,44
"37","Ireland",1,53,-8
"38","Israel",7,31.5,34.75
"39","Italy",1128,42.8333,12.8333
"40","Japan",241,36,138
"41","Kuwait",45,29.3375,47.6581
"42","Lebanon",4,33.8333,35.8333
"43","Lithuania",1,56,24
"44","Luxembourg",1,49.75,6.1667
"45","Macedonia, the former Yugoslav Republic of",1,41.8333,22
"46","Malaysia",25,2.5,112.5
"47","Mexico",4,23,-102
"48","Monaco",1,43.7333,7.4
"49","Nepal",1,28,84
"50","Netherlands",6,52.5,5.75
"51","New Zealand",1,-41,174
"52","Nigeria",1,10,8
"53","Norway",15,62,10
"54","Oman",6,21,57
"55","Pakistan",4,30,70
"56","Philippines",3,13,122
"57","Qatar",1,25.5,51.25
"58","Romania",3,46,25
"59","Russia",2,60,100
"60","San Marino",1,43.7667,12.4167
"61","Singapore",102,1.3667,103.8
"62","South Korea",3150,37,127.5
"63","Spain",45,40,-4
"64","Sri Lanka",1,7,81
"65","Sweden",12,62,15
"66","Taiwan",39,23.5,121
"67","Thailand",42,15,100
"68","United Arab Emirates",21,24,54
"69","United Kingdom",23,54,-2
"70","United States",70,38,-97
"71","Vietnam",16,16,106
