"","Country","cases","deaths","lat","lng"
"110","Malaysia",428,0,2.5,112.5
"111","Maldives",13,0,3.25,73
"112","Malta",21,0,35.8333,14.5833
"113","Martinique",9,0,14.6667,-61
"114","Mauritania",1,0,20,-12
"115","Mexico",41,0,23,-102
"116","Moldova, Republic of",23,0,47,29
"117","Monaco",2,0,43.7333,7.4
"118","Mongolia",1,0,46,105
"119","Morocco",28,1,32,-5
"120","Namibia",2,0,-22,17
"121","Nepal",1,0,28,84
"122","Netherlands",1136,20,52.5,5.75
"123","New Zealand",8,0,-41,174
"124","Nigeria",2,0,10,8
"125","Norway",1221,3,62,10
"126","Oman",22,0,21,57
"127","Pakistan",53,0,30,70
"128","Palestinian Territory, Occupied",0,0,32,35.25
"129","Panama",43,1,9,-80
"130","Paraguay",6,0,-23,-58
"131","Peru",43,0,-10,-76
"132","Philippines",140,11,13,122
"133","Poland",119,3,52,20
"134","Portugal",245,0,39.5,-8
"135","Qatar",401,0,25.5,51.25
"136","Réunion",7,0,-21.1,55.6
"137","Romania",131,0,46,25
"138","Russia",63,0,60,100
"139","Rwanda",1,0,-2,30
"140","Saint Lucia",2,0,13.8833,-61.1333
"141","Saint Vincent and the Grenadines",1,0,13.25,-61.2
"142","San Marino",101,5,43.7667,12.4167
"143","Saudi Arabia",103,0,25,45
"144","Senegal",24,0,14,-14
"145","Serbia",50,0,44,21
"146","Seychelles",2,0,-4.5833,55.6667
"147","Singapore",226,0,1.3667,103.8
"148","Slovakia",54,0,48.6667,19.5
"149","Slovenia",219,1,46,15
"150","South Africa",51,0,-29,24
"151","Spain",7798,289,40,-4
"152","Sri Lanka",18,0,7,81
"153","Sudan",1,1,15,30
"154","Suriname",1,0,4,-56
"155","Swaziland",1,0,-26.5,31.5
"156","Sweden",1022,3,62,15
"157","Taiwan",59,1,23.5,121
"158","Thailand",114,1,15,100
"159","Togo",1,0,8,1.1667
"160","Trinidad and Tobago",2,0,11,-61
"161","Tunisia",18,0,34,9
"162","Turkey",6,0,39,35
"163","Ukraine",3,1,49,32
"164","United Arab Emirates",98,0,24,54
"165","United Kingdom",1144,21,54,-2
"166","United States",3499,63,38,-97
"167","Uruguay",4,0,-33,-56
"168","Uzbekistan",1,0,41,64
"169","Venezuela",10,0,8,-66
"170","Vietnam",56,0,16,106
