"","Country","cases","deaths","lat","lng"
"1","Unallocated",800,0,46.969345,8.592703
"2","Geneva",107,1,46.2017559,6.1466014
"3","Vaud",273,3,46.6356963,6.5320717
"4","Basel City",119,1,47.5579097,7.5927728
"5","Aargau",31,0,47.412396,8.1948321
"6","Zurich",148,0,47.3723941,8.5423328
"7","Ticino",291,6,46.3356506,8.753706
"8","Graubünden",47,0,46.6960615,9.6027351
"9","Valais",47,1,46.2303063,7.6605757
"10","Basel Country",48,2,47.4839723,7.7347783
"11","Bern",78,0,46.8739775,7.5631943
"12","Fribourg",38,0,46.6789116,7.1027113
"13","Zug",9,0,47.1486137,8.5539378
"14","Schwyz",13,0,47.0571976,8.7222073
"15","Neuchâtel",39,0,46.9895828,6.9292641
"16","St. Gallen",26,0,47.2033184,9.3507024
"17","Lucerne",19,0,47.0505452,8.3054682
"18","Appenzell Ausserrhoden",5,0,47.3960076,9.3705839
"19","Jura",10,0,47.3370866,7.2440935
"20","Thurgau",5,0,47.5859649,9.1428769
"21","Solothurn",10,0,47.31874,7.6698284
"22","Appenzell Innerrhoden",2,0,47.3007262,9.3991527
"23","Glarus",2,0,46.9796562,9.108812
"24","Schaffhausen",1,0,47.7151451,8.519796
"25","Nidwalden",5,0,46.942756,8.4119773
"26","Obwalden",8,0,46.8613857,8.2067825
"27","Uri",0,0,46.7864413,8.6420159
"28","Afghanistan",16,0,33,65
"29","Albania",42,1,41,20
"30","Algeria",48,4,28,3
"31","Andorra",1,0,42.5,1.6
"32","Antigua and Barbuda",1,0,17.05,-61.8
"33","Argentina",45,2,-34,-64
"34","Armenia",26,0,40,45
"35","Aruba",2,0,12.5,-69.9667
"36","Australia",297,3,-27,133
"37","Austria",860,1,47.3333,13.3333
"38","Azerbaijan",23,1,40.5,47.5
"39","Bahrain",214,0,26,50.55
"40","Bangladesh",5,0,24,90
"41","Belarus",27,0,53,28
"42","Belgium",886,4,50.8333,4
"43","Bhutan",1,0,27.5,90.5
"44","Bolivia",10,0,-17,-65
"45","Bosnia and Herzegovina",24,0,44,18
"46","Brazil",162,0,-10,-55
"47","Brunei",50,0,4.5,114.6667
"48","Bulgaria",51,2,43,25
"49","Burkina Faso",3,0,13,-2
"50","Cambodia",7,0,13,105
"51","Cameroon",2,0,6,12
"52","Canada",250,1,60,-95
"53","Cayman Islands",1,0,19.5,-80.5
"54","Central African Republic",1,0,7,21
"55","Chile",74,0,-30,-71
"56","China",81003,3203,35,105
"57","Colombia",34,0,4,-72
"58","Congo",1,0,-1,15
"59","Congo, the Democratic Republic of the",2,0,0,25
"60","Costa Rica",27,0,10,-84
"61","Côte d'Ivoire",1,0,8,-5
"62","Croatia",49,0,45.1667,15.5
"63","Cuba",4,0,21.5,-80
"64","Cyprus",26,0,35,33
"65","Czech Republic",253,0,49.75,15.5
"66","Denmark",875,2,56,10
"67","Dominican Republic",11,0,19,-70.6667
"68","Ecuador",28,2,-2,-77.5
"69","Egypt",110,2,27,30
"70","Equatorial Guinea",1,0,2,10
"71","Estonia",171,0,59,26
"72","Ethiopia",1,0,8,38
"73","Finland",244,0,64,26
"74","France",4513,91,46,2
"75","Gabon",1,0,-1,11.75
"76","Georgia",33,0,42,43.5
"77","Germany",5795,11,51,9
"78","Ghana",6,0,8,-2
"79","Greece",331,4,39,22
"80","Guadeloupe",3,0,16.25,-61.5833
"81","Guatemala",1,0,15.5,-90.25
"82","Guernsey",1,0,49.5,-2.56
"83","Guinea",1,0,11,-10
"84","Guyana",4,1,5,-59
"85","Holy See (Vatican City State)",1,0,41.9,12.45
"86","Honduras",3,0,15,-86.5
"87","Hungary",32,1,47,20
"88","Iceland",171,5,65,-18
"89","India",113,2,20,77
"90","Indonesia",117,5,-5,120
"91","Iran, Islamic Republic of",13938,724,32,53
"92","Iraq",116,10,33,44
"93","Ireland",129,2,53,-8
"94","Israel",251,0,31.5,34.75
"95","Italy",24747,1809,42.8333,12.8333
"96","Jamaica",10,0,18.25,-77.5
"97","Japan",839,22,36,138
"98","Jersey",2,0,49.21,-2.13
"99","Jordan",8,0,31,36
"100","Kazakhstan",9,0,48,68
"101","Kenya",3,0,1,38
"102","Korea, Republic of",8162,75,37,127.5
"103","Kuwait",112,0,29.3375,47.6581
"104","Latvia",30,0,57,25
"105","Lebanon",110,3,33.8333,35.8333
"106","Liechtenstein",4,0,47.1667,9.5333
"107","Lithuania",12,0,56,24
"108","Luxembourg",59,1,49.75,6.1667
"109","Macedonia, the former Yugoslav Republic of",14,0,41.8333,22
