"","Country","cases","lat","lng"
"1","Geneva",11,46.2017559,6.1466014
"2","Vaud",9,46.6356963,6.5320717
"3","Basel City",12,47.5579097,7.5927728
"4","Aargau",12,47.412396,8.1948321
"5","Zurich",26,47.3723941,8.5423328
"6","Ticino",18,46.3356506,8.753706
"7","Graubünden",9,46.6960615,9.6027351
"8","Valais",5,46.2303063,7.6605757
"9","Basel Country",9,47.4839723,7.7347783
"10","Bern",17,46.8739775,7.5631943
"11","Fribourg",4,46.6789116,7.1027113
"12","Zug",3,47.1486137,8.5539378
"13","Schwyz",6,47.0571976,8.7222073
"14","Neuchâtel",15,46.9895828,6.9292641
"15","St. Gallen",2,47.2033184,9.3507024
"16","Lucerne",2,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",1,47.3960076,9.3705839
"18","Jura",1,47.3370866,7.2440935
"19","Thurgau",1,47.5859649,9.1428769
"20","Solothurn",1,47.31874,7.6698284
"21","Afghanistan",1,33,65
"22","Algeria",12,28,3
"23","Andorra",1,42.5,1.6
"24","Argentina",1,-34,-64
"25","Armenia",1,40,45
"26","Australia",55,-27,133
"27","Austria",41,47.3333,13.3333
"28","Azerbaijan",6,40.5,47.5
"29","Bahrain",55,26,50.55
"30","Belarus",6,53,28
"31","Belgium",50,50.8333,4
"32","Bosnia and Herzegovina",2,44,18
"33","Brazil",4,-10,-55
"34","Cambodia",1,13,105
"35","Canada",37,60,-95
"36","Chile",4,-30,-71
"37","China",80432,35,105
"38","Croatia",10,45.1667,15.5
"39","Czech Republic",12,49.75,15.5
"40","Denmark",10,56,10
"41","Dominican Republic",1,19,-70.6667
"42","Ecuador",13,-2,-77.5
"43","Egypt",3,27,30
"44","Estonia",3,59,26
"45","Faroe Islands",1,62,-7
"46","Finland",12,64,26
"47","France",377,46,2
"48","Georgia",4,42,43.5
"49","Germany",482,51,9
"50","Gibraltar",1,36.1833,-5.3667
"51","Greece",31,39,22
"52","Hong Kong",105,22.25,114.1667
"53","Hungary",2,47,20
"54","Iceland",34,65,-18
"55","India",30,20,77
"56","Indonesia",2,-5,120
"57","Iran, Islamic Republic of",3513,32,53
"58","Iraq",35,33,44
"59","Ireland",6,53,-8
"60","Israel",16,31.5,34.75
"61","Italy",3858,42.8333,12.8333
"62","Japan",360,36,138
"63","Jordan",1,31,36
"64","Kuwait",58,29.3375,47.6581
"65","Latvia",1,57,25
"66","Lebanon",16,33.8333,35.8333
"67","Liechtenstein",1,47.1667,9.5333
"68","Lithuania",1,56,24
"69","Luxembourg",1,49.75,6.1667
"70","Macedonia, the former Yugoslav Republic of",1,41.8333,22
"71","Malaysia",50,2.5,112.5
"72","Martinique",3,14.6667,-61
"73","Mexico",5,23,-102
"74","Monaco",1,43.7333,7.4
"75","Morocco",2,32,-5
"76","Nepal",1,28,84
"77","Netherlands",82,52.5,5.75
"78","New Zealand",3,-41,174
"79","Nigeria",1,10,8
"80","Norway",87,62,10
"81","Oman",16,21,57
"82","Pakistan",5,30,70
"83","Palestinian Territory, Occupied",4,32,35.25
"84","Philippines",3,13,122
"85","Poland",1,52,20
"86","Portugal",8,39.5,-8
"87","Qatar",8,25.5,51.25
"88","Romania",6,46,25
"89","Russia",4,60,100
"90","San Marino",21,43.7667,12.4167
"91","Saudi Arabia",5,25,45
"92","Senegal",4,14,-14
"93","Singapore",117,1.3667,103.8
"94","Slovenia",2,46,15
"95","South Africa",1,-29,24
"96","South Korea",6088,37,127.5
"97","Spain",259,40,-4
"98","Sri Lanka",1,7,81
"99","Sweden",94,62,15
"100","Taiwan",44,23.5,121
"101","Thailand",47,15,100
"102","Tunisia",1,34,9
"103","Ukraine",1,49,32
"104","United Arab Emirates",29,24,54
"105","United Kingdom",115,54,-2
"106","United States",221,38,-97
"107","Vietnam",16,16,106
