"","Country","cases","deaths","lat","lng"
"117","Liberia",2,0,6.5,-9.5
"118","Liechtenstein",28,0,47.1667,9.5333
"119","Lithuania",36,0,56,24
"120","Luxembourg",335,4,49.75,6.1667
"121","Macedonia, the former Yugoslav Republic of",48,0,41.8333,22
"122","Malaysia",900,2,2.5,112.5
"123","Maldives",13,0,3.25,73
"124","Malta",53,0,35.8333,14.5833
"125","Martinique",23,1,14.6667,-61
"126","Mauritania",2,0,20,-12
"127","Mauritius",3,0,-20.2833,57.55
"128","Mayotte",3,0,-12.8333,45.1667
"129","Mexico",118,1,23,-102
"130","Moldova, Republic of",49,1,47,29
"131","Monaco",7,0,43.7333,7.4
"132","Mongolia",6,0,46,105
"133","Montenegro",3,0,42,19
"134","Morocco",63,2,32,-5
"135","Namibia",3,0,-22,17
"136","Nepal",1,0,28,84
"137","Netherlands",2465,77,52.5,5.75
"138","New Zealand",28,0,-41,174
"139","Nicaragua",1,0,13,-85
"140","Nigeria",8,0,10,8
"141","Norway",1746,7,62,10
"142","Oman",48,0,21,57
"143","Pakistan",454,2,30,70
"144","Panama",109,1,9,-80
"145","Paraguay",11,0,-23,-58
"146","Peru",234,0,-10,-76
"147","Philippines",217,17,13,122
"148","Poland",355,5,52,20
"149","Portugal",785,3,39.5,-8
"150","Puerto Rico",0,0,18.25,-66.5
"151","Qatar",460,0,25.5,51.25
"152","Réunion",14,0,-21.1,55.6
"153","Romania",277,0,46,25
"154","Russia",199,1,60,100
"155","Rwanda",8,0,-2,30
"156","Saint Lucia",2,0,13.8833,-61.1333
"157","Saint Vincent and the Grenadines",1,0,13.25,-61.2
"158","San Marino",119,11,43.7667,12.4167
"159","Saudi Arabia",274,0,25,45
"160","Senegal",31,0,14,-14
"161","Serbia",105,0,44,21
"162","Seychelles",6,0,-4.5833,55.6667
"163","Singapore",345,0,1.3667,103.8
"164","Slovakia",123,1,48.6667,19.5
"165","Slovenia",286,1,46,15
"166","Somalia",1,0,10,49
"167","South Africa",150,0,-29,24
"168","Spain",17963,830,40,-4
"169","Sri Lanka",60,0,7,81
"170","Sudan",2,1,15,30
"171","Suriname",1,0,4,-56
"172","Swaziland",1,0,-26.5,31.5
"173","Sweden",1439,11,62,15
"174","Taiwan",108,1,23.5,121
"175","Tanzania, United Republic of",6,0,-6,35
"176","Thailand",272,1,15,100
"177","Togo",1,0,8,1.1667
"178","Trinidad and Tobago",9,0,11,-61
"179","Tunisia",39,1,34,9
"180","Turkey",192,3,39,35
"181","Ukraine",16,2,49,32
"182","United Arab Emirates",140,0,24,54
"183","United Kingdom",2716,138,54,-2
"184","United States",13680,200,38,-97
"185","Uruguay",79,0,-33,-56
"186","Uzbekistan",23,0,41,64
"187","Venezuela",42,0,8,-66
"188","Vietnam",85,0,16,106
"189","Zambia",2,0,-15,30
