"","Country","cases","deaths","lat","lng"
"1","Unasigned",3243,0,46.9667,8.6
"2","Geneva",107,1,46.2017559,6.1466014
"3","Vaud",273,3,46.6356963,6.5320717
"4","Basel City",119,4,47.5579097,7.5927728
"5","Aargau",31,0,47.412396,8.1948321
"6","Zurich",294,1,47.3723941,8.5423328
"7","Ticino",330,6,46.3356506,8.753706
"8","Graubünden",47,0,46.6960615,9.6027351
"9","Valais",47,1,46.2303063,7.6605757
"10","Basel Country",48,2,47.4839723,7.7347783
"11","Bern",104,1,46.8739775,7.5631943
"12","Fribourg",38,0,46.6789116,7.1027113
"13","Zug",13,0,47.1486137,8.5539378
"14","Schwyz",9,0,47.0571976,8.7222073
"15","Neuchâtel",39,0,46.9895828,6.9292641
"16","St. Gallen",26,0,47.2033184,9.3507024
"17","Lucerne",26,0,47.0505452,8.3054682
"18","Appenzell Ausserrhoden",5,0,47.3960076,9.3705839
"19","Jura",10,0,47.3370866,7.2440935
"20","Thurgau",5,0,47.5859649,9.1428769
"21","Solothurn",10,0,47.31874,7.6698284
"22","Appenzell Innerrhoden",2,0,47.3007262,9.3991527
"23","Glarus",2,0,46.9796562,9.108812
"24","Schaffhausen",1,0,47.7151451,8.519796
"25","Nidwalden",8,0,46.942756,8.4119773
"26","Obwalden",1,0,46.8613857,8.2067825
"27","Uri",2,0,46.7864413,8.6420159
"28","Afghanistan",22,0,33,65
"29","Albania",64,2,41,20
"30","Algeria",87,9,28,3
"31","Andorra",53,0,42.5,1.6
"32","Antigua and Barbuda",1,0,17.05,-61.8
"33","Argentina",97,3,-34,-64
"34","Armenia",115,0,40,45
"35","Aruba",4,0,12.5,-69.9667
"36","Australia",681,6,-27,133
"37","Austria",2013,6,47.3333,13.3333
"38","Azerbaijan",44,1,40.5,47.5
"39","Bahamas",3,0,24.25,-76
"40","Bahrain",278,1,26,50.55
"41","Bangladesh",17,1,24,90
"42","Barbados",5,0,13.1667,-59.5333
"43","Belarus",51,0,53,28
"44","Belgium",1795,21,50.8333,4
"45","Benin",2,0,9.5,2.25
"46","Bhutan",1,0,27.5,90.5
"47","Bolivia",12,0,-17,-65
"48","Bosnia and Herzegovina",63,0,44,18
"49","Brazil",621,6,-10,-55
"50","Brunei",75,0,4.5,114.6667
"51","Bulgaria",94,3,43,25
"52","Burkina Faso",33,1,13,-2
"53","Cambodia",37,0,13,105
"54","Cameroon",13,0,6,12
"55","Canada",800,9,60,-95
"56","Central African Republic",1,0,7,21
"57","Chad",1,0,15,19
"58","Chile",238,0,-30,-71
"59","China",81156,3249,35,105
"60","Colombia",102,0,4,-72
"61","Congo",3,0,-1,15
"62","Congo, the Democratic Republic of the",14,0,0,25
"63","Costa Rica",69,1,10,-84
"64","Côte d'Ivoire",9,0,8,-5
"65","Croatia",105,1,45.1667,15.5
"66","Cuba",11,1,21.5,-80
"67","Cyprus",67,0,35,33
"68","Czech Republic",694,0,49.75,15.5
"69","Denmark",1225,6,56,10
"70","Djibouti",1,0,11.5,43
"71","Dominican Republic",34,2,19,-70.6667
"72","Ecuador",199,3,-2,-77.5
"73","Egypt",256,6,27,30
"74","El Salvador",1,0,13.8333,-88.9167
"75","Equatorial Guinea",6,0,2,10
"76","Estonia",267,0,59,26
"77","Ethiopia",6,0,8,38
"78","Fiji",1,0,-18,175
"79","Finland",400,0,64,26
"80","France",10886,243,46,2
"81","French Guiana",11,0,4,-53
"82","Gabon",1,0,-1,11.75
"83","Gambia",1,0,13.4667,-16.5667
"84","Georgia",40,0,42,43.5
"85","Germany",15320,44,51,9
"86","Ghana",11,0,8,-2
"87","Greece",418,6,39,22
"88","Greenland",0,0,72,-40
"89","Guadeloupe",33,0,16.25,-61.5833
"90","Guam",0,0,13.4667,144.7833
"91","Guatemala",9,1,15.5,-90.25
"92","Guernsey",0,0,49.5,-2.56
"93","Guinea",1,0,11,-10
"94","Guyana",7,1,5,-59
"95","Holy See (Vatican City State)",1,0,41.9,12.45
"96","Honduras",12,0,15,-86.5
"97","Hungary",73,1,47,20
"98","Iceland",330,1,65,-18
"99","India",194,4,20,77
"100","Indonesia",311,25,-5,120
"101","Iran, Islamic Republic of",18407,1284,32,53
"102","Iraq",192,13,33,44
"103","Ireland",557,3,53,-8
"104","Israel",677,0,31.5,34.75
"105","Italy",41035,3405,42.8333,12.8333
"106","Jamaica",15,1,18.25,-77.5
"107","Japan",924,29,36,138
"108","Jersey",0,0,49.21,-2.13
"109","Jordan",69,0,31,36
"110","Kazakhstan",44,0,48,68
"111","Kenya",7,0,1,38
"112","Korea, Republic of",8565,91,37,127.5
"113","Kuwait",148,0,29.3375,47.6581
"114","Kyrgyzstan",3,0,41,75
"115","Latvia",86,0,57,25
"116","Lebanon",157,4,33.8333,35.8333
